Iteration	Posterior	Likelihood	Prior	alpha	is_BM	is_OU	sigma2	theta
0	-7.670178	-7.704217	0.03403929	0.03594079	0	1	0.01909391	3.225757
10	-7.533368	-7.698662	0.1652944	0.03446575	0	1	0.01822793	3.323656
20	-14.11477	-12.40574	-1.709032	0.04230408	0	1	0.07567426	3.570265
30	-10.0223	-8.071902	-1.950395	0.05875945	0	1	0.03738707	3.38809
40	-14.29816	-11.74814	-2.550024	0	1	0	0.03476366	3.487944
50	-7.297913	-9.577615	2.279702	0.008003555	0	1	0.01008042	3.255318
60	-11.48191	-9.802942	-1.678969	0	1	0	0.01454893	3.001858
70	-9.534215	-9.367154	-0.1670604	0.02933873	0	1	0.03413096	3.469009
80	-7.688326	-7.810117	0.1217907	0.03157738	0	1	0.02247923	3.251281
90	-8.567252	-8.755772	0.1885195	0.02583978	0	1	0.02924992	3.140318
100	-8.91375	-8.854798	-0.05895257	0.03004467	0	1	0.02941466	3.458417
110	-10.03074	-8.130164	-1.900577	0.0580546	0	1	0.03704185	3.429497
120	-8.487959	-10.69192	2.203964	0.01238966	0	1	0.008449046	3.303537
130	-7.09134	-9.032803	1.941463	0.01238966	0	1	0.01098526	3.204895
140	-11.17809	-9.300419	-1.877667	0	1	0	0.01774699	3.171252
150	-8.046492	-8.0089	-0.03759294	0.03206805	0	1	0.02562973	3.289656
160	-6.760883	-8.584085	1.823202	0.008590492	0	1	0.01538411	3.174354
170	-9.112069	-8.506678	-0.6053914	0.03899771	0	1	0.03035535	3.463971
180	-7.069212	-9.282565	2.213353	0.00462121	0	1	0.01308529	3.065428
190	-7.848113	-8.884103	1.03599	0.01394061	0	1	0.02484906	3.183509
200	-6.966918	-8.049625	1.082707	0.0202688	0	1	0.01647955	3.17809
210	-7.297515	-8.588027	1.290512	0.01428881	0	1	0.01888316	3.361479
220	-6.765726	-8.794617	2.028891	0.006081526	0	1	0.01446825	3.263957
230	-10.09702	-10.1523	0.05528084	0.02233625	0	1	0.04087957	3.270835
240	-8.73454	-9.495896	0.761356	0.02896742	0	1	0.01377899	3.501941
250	-11.60311	-10.33432	-1.268784	0	1	0	0.009653625	3.116142
260	-8.283185	-9.603153	1.319968	0.01037739	0	1	0.02296085	2.951003
270	-8.048889	-10.61668	2.567787	0.001471527	0	1	0.01100354	2.969987
280	-6.938816	-8.50894	1.570124	0.01549886	0	1	0.01331724	3.141489
290	-12.19684	-10.01878	-2.17806	0	1	0	0.02396535	3.098391
300	-7.050053	-8.211764	1.161711	0.02042778	0	1	0.01508907	3.325112
310	-7.80336	-8.018965	0.2156058	0.03202634	0	1	0.0199445	3.136449
320	-8.371015	-9.105365	0.7343501	0.01697145	0	1	0.02822288	3.30273
330	-11.29789	-9.577637	-1.720251	0	1	0	0.01516211	3.040322
340	-7.937774	-8.326854	0.3890802	0.03373916	0	1	0.01519493	3.411879
350	-7.618053	-8.016318	0.3982649	0.03361472	0	1	0.01516415	3.344222
360	-8.140691	-8.47242	0.3317292	0.02856386	0	1	0.0216712	3.056519
370	-7.630016	-10.44379	2.813778	0.0004091318	0	1	0.009146147	3.159258
380	-8.767303	-10.31561	1.548303	0.003869259	0	1	0.02657017	2.973749
390	-11.95475	-10.55732	-1.397432	0.04171749	0	1	0.05731588	3.346976
400	-12.48801	-13.43644	0.9484322	0.005484129	0	1	0.04411395	3.766708
410	-10.34717	-8.038025	-2.309148	0.06790986	0	1	0.03161927	3.23384
420	-16.02093	-8.212249	-7.808679	0.1480241	0	1	0.07711527	3.424302
430	-9.069656	-8.855333	-0.2143229	0.031036	0	1	0.03245466	3.145298
440	-11.24968	-9.600688	-1.648993	0	1	0	0.01411929	3.379239
