Iteration	Posterior	Likelihood	Prior	alpha	is_BM	is_OU	sigma2	theta
0	-7.410613	-9.291699	1.881086	0.001407618	0	1	0.02224165	3.330706
10	-9.00104	-10.72369	1.722654	0.003435279	0	1	0.02315155	2.694993
20	-9.685491	-10.77371	1.088218	0.00544097	0	1	0.0388397	3.206027
30	-11.63376	-10.71089	-0.9228714	0.03452307	0	1	0.05315759	3.545827
40	-11.61371	-9.84196	-1.771748	0	1	0	0.01596337	3.509126
50	-9.428562	-7.240469	-2.188093	0.06686002	0	1	0.0285385	3.450623
60	-13.74972	-11.73813	-2.01159	0.06565288	0	1	0.0256669	2.900084
70	-9.241768	-7.721368	-1.5204	0.05276359	0	1	0.033323	3.295993
80	-12.08827	-9.939688	-2.148585	0	1	0	0.02326928	3.494083
90	-7.111457	-8.959195	1.847738	0.003651522	0	1	0.02017324	3.061316
100	-11.29909	-12.01149	0.7124035	0.01229592	0	1	0.03790917	2.564785
110	-6.739524	-8.928632	2.189108	0.003023794	0	1	0.01487411	3.313757
120	-9.210166	-10.74744	1.53727	0.00160202	0	1	0.03101396	3.547447
130	-7.290355	-8.643076	1.35272	0.01012625	0	1	0.0226804	3.242002
140	-9.289625	-9.118432	-0.1711932	0.03832446	0	1	0.02008009	2.953962
150	-7.129491	-8.191151	1.061659	0.018956	0	1	0.01812417	3.357904
160	-8.793148	-8.036494	-0.756654	0.0403528	0	1	0.03203448	3.280457
170	-10.82797	-8.955905	-1.872069	0	1	0	0.01764792	3.151299
180	-6.622262	-9.008561	2.386299	0.0002547856	0	1	0.01435409	3.251867
190	-7.386374	-8.817762	1.431388	0.012191	0	1	0.01858457	2.954873
200	-8.792921	-8.563835	-0.2290858	0.0308867	0	1	0.03284169	3.336423
210	-7.122161	-8.651847	1.529687	0.008214717	0	1	0.02124442	3.131863
220	-7.118867	-9.471972	2.353105	0.003963683	0	1	0.01195049	3.032822
230	-7.371454	-7.879509	0.5080543	0.02523788	0	1	0.02185067	3.288861
240	-6.981712	-8.438563	1.456851	0.01761059	0	1	0.01320472	3.236166
250	-7.50015	-8.604553	1.104403	0.01500696	0	1	0.02186687	3.396761
260	-10.01406	-7.134501	-2.879556	0.0815376	0	1	0.02419422	3.445026
270	-9.203946	-8.293645	-0.9103013	0.04828448	0	1	0.02351307	3.567363
280	-6.983752	-8.360291	1.376539	0.01223274	0	1	0.01958462	3.113887
290	-10.69526	-8.977492	-1.717765	0	1	0	0.01512447	3.252549
300	-10.41707	-9.535425	-0.8816471	0.0455408	0	1	0.02681676	2.9174
310	-12.74451	-10.30336	-2.441147	0	1	0	0.03117748	3.258526
320	-9.972655	-10.70924	0.7365805	0.01381254	0	1	0.03386912	2.742368
330	-7.182947	-8.709824	1.526877	0.01299629	0	1	0.01611652	2.990865
340	-7.598399	-9.21436	1.61596	0.008544064	0	1	0.01911741	2.898955
350	-9.393571	-9.70683	0.3132591	0.03861255	0	1	0.01216378	3.468775
360	-7.143386	-8.517403	1.374017	0.012142	0	1	0.01973833	3.044623
370	-7.185587	-7.761512	0.5759253	0.025821	0	1	0.01973373	3.252223
380	-7.325888	-8.610958	1.28507	0.01181164	0	1	0.02199445	3.065368
390	-7.351773	-7.709026	0.3572529	0.02896622	0	1	0.02043894	3.298018
400	-6.886667	-8.551305	1.664638	0.01184036	0	1	0.01502245	3.062244
410	-8.257149	-9.409332	1.152183	0.01184036	0	1	0.02507823	2.888752
420	-7.21505	-8.950113	1.735063	0.004405027	0	1	0.02160786	3.102754
