Iteration	Posterior	Likelihood	Prior	alpha	is_BM	is_OU	sigma2	theta
0	-8.973923	-10.82533	1.851404	0.004951308	0	1	0.0190854	3.314051
10	-9.467693	-10.74112	1.273426	0.01872038	0	1	0.01481187	3.159083
20	-9.954513	-10.56102	0.6065046	0.01870639	0	1	0.02888134	3.259284
30	-11.36829	-12.30056	0.9322715	0.008809269	0	1	0.0379051	2.987864
40	-9.225649	-10.64016	1.414512	0.01102564	0	1	0.02047092	3.395366
50	-15.59161	-13.11953	-2.472078	0	1	0	0.03215691	2.689008
60	-9.356987	-11.29021	1.933227	0.008918072	0	1	0.01383995	3.041082
70	-11.51238	-12.6903	1.177923	0.02450207	0	1	0.01149364	3.084866
80	-10.04058	-10.69876	0.6581848	0.01745437	0	1	0.02958067	3.305147
90	-8.966302	-10.4174	1.451102	0.01163614	0	1	0.0190211	3.235766
100	-9.968964	-9.81016	-0.1588036	0.0352655	0	1	0.02284083	3.235766
110	-8.892585	-10.66192	1.769338	0.006604452	0	1	0.01874939	3.234376
120	-10.39488	-12.47184	2.076963	0.001061576	0	1	0.01926431	3.695227
130	-12.1855	-11.76066	-0.4248367	0.03117638	0	1	0.03814949	2.909338
140	-9.197069	-10.13286	0.9357922	0.01886165	0	1	0.02058438	3.250879
150	-9.089368	-11.12174	2.032373	0.0004153824	0	1	0.02094428	3.228303
160	-9.720019	-11.14937	1.429352	0.01425425	0	1	0.01659663	3.530692
170	-16.59809	-16.14288	-0.4552062	0.03118286	0	1	0.03931046	4.297196
180	-8.932268	-10.95643	2.024162	0.005074859	0	1	0.01593798	3.339341
190	-8.998007	-11.22631	2.228302	0.00247599	0	1	0.01520315	3.035228
200	-9.867034	-11.07955	1.212517	0.009510062	0	1	0.02745427	3.354788
210	-13.62081	-15.28007	1.65926	0.01118285	0	1	0.01587529	2.501229
220	-13.37293	-16.07275	2.699818	0.007445465	0	1	0.007027954	3.192997
230	-9.760811	-10.75219	0.9913834	0.01726655	0	1	0.02144013	3.535062
240	-13.79286	-11.55149	-2.241366	0	1	0	0.02553156	3.103023
250	-11.48869	-9.647098	-1.841594	0.06309306	0	1	0.02289499	3.573616
