Iteration	Posterior	Likelihood	Prior	alpha	is_BM	is_OU	sigma2	theta
0	-7.525762	-9.0732	1.547438	0.003986991	0	1	0.02597258	3.299405
10	-11.22367	-9.059419	-2.164252	0	1	0	0.02363671	3.069256
20	-6.137288	-8.223664	2.086376	0.002787739	0	1	0.01620946	3.262831
30	-6.92459	-8.956919	2.032328	0.005010174	0	1	0.01509808	2.94485
40	-9.367215	-10.7689	1.401683	0.001673792	0	1	0.0342258	3.476358
50	-6.445501	-8.596457	2.150955	0.0004235583	0	1	0.01735825	3.0374
60	-6.676092	-8.421604	1.745512	0.0133357	0	1	0.01258916	3.329539
70	-8.208054	-8.539545	0.3314909	0.02301508	0	1	0.03002759	3.086647
80	-6.877525	-7.884965	1.007441	0.02032001	0	1	0.01777585	3.056998
90	-6.751894	-9.002174	2.25028	0.004703603	0	1	0.01235263	2.992525
100	-11.7956	-9.591534	-2.204065	0	1	0	0.02459674	3.421549
110	-6.435202	-7.712124	1.276922	0.01803828	0	1	0.01543708	3.27981
120	-6.476427	-8.350579	1.874152	0.0030399	0	1	0.01975937	3.136151
130	-10.35291	-7.586961	-2.765949	0.07369318	0	1	0.0383775	3.333379
140	-7.352683	-7.710429	0.3577459	0.02733673	0	1	0.02293459	3.333028
150	-11.04947	-9.508742	-1.540731	0	1	0	0.01267055	2.942106
160	-6.416886	-7.920776	1.50389	0.01008808	0	1	0.01924458	3.16654
170	-9.178556	-7.610403	-1.568153	0.05507936	0	1	0.03302393	3.302597
180	-9.229357	-8.809363	-0.4199941	0.03349654	0	1	0.03529429	3.068138
190	-10.08724	-8.461958	-1.625281	0	1	0	0.01378844	3.089692
200	-11.08417	-11.49349	0.4093168	0.01267528	0	1	0.04970965	2.95926
210	-10.60462	-8.660016	-1.944603	0	1	0	0.01897557	3.315778
220	-10.61215	-11.34496	0.7328068	0.01883451	0	1	0.02543375	2.671267
230	-6.992024	-8.366592	1.374567	0.008838621	0	1	0.02349692	3.204669
240	-6.503502	-8.185988	1.682485	0.009498478	0	1	0.01664011	3.338373
250	-11.92207	-9.836925	-2.085147	0	1	0	0.02183898	2.863225
260	-7.5125	-7.98712	0.4746207	0.02337037	0	1	0.02550799	3.12756
270	-10.02221	-8.545927	-1.476279	0	1	0	0.01187966	3.170674
280	-9.961933	-8.249776	-1.712156	0.06961832	0	1	0.01682736	3.328377
290	-9.272373	-8.636379	-0.6359943	0.04246727	0	1	0.0264396	3.55197
300	-11.00939	-9.16155	-1.847837	0	1	0	0.01722542	3.430395
310	-9.385694	-11.01837	1.63268	0.01513789	0	1	0.01273359	2.822653
320	-7.766694	-8.826181	1.059487	0.01829485	0	1	0.01891147	2.918784
330	-7.325116	-9.141045	1.815928	0.0006362972	0	1	0.02397766	3.33042
340	-8.14061	-7.894287	-0.246323	0.04546967	0	1	0.01512307	3.335484
350	-7.188653	-8.3148	1.126147	0.01446753	0	1	0.02194421	3.019675
360	-7.592262	-7.366195	-0.2260674	0.03808631	0	1	0.02245446	3.320868
370	-7.172938	-8.872384	1.699446	0.01414986	0	1	0.01259226	2.994786
380	-7.355394	-8.61626	1.260866	0.01661584	0	1	0.01699435	2.951571
390	-6.534679	-9.228055	2.693376	0.0006803814	0	1	0.009946229	3.256619
400	-6.195683	-7.710936	1.515253	0.01448691	0	1	0.01485456	3.181356
410	-6.795199	-7.507737	0.7125377	0.02322367	0	1	0.02027382	3.20117
420	-9.181645	-11.14884	1.967198	7.248673e-05	0	1	0.02127607	2.711042
430	-9.485198	-10.08434	0.5991434	0.01312787	0	1	0.04008095	3.188423
440	-7.636069	-7.951885	0.3158156	0.03212934	0	1	0.0182626	3.066215
450	-6.679651	-7.413459	0.7338074	0.02543024	0	1	0.01752939	3.208301
460	-9.225112	-7.603885	-1.621227	0.05884436	0	1	0.02817452	3.207258
470	-10.12938	-8.344659	-1.784722	0	1	0	0.01617183	3.116756
480	-9.025078	-8.884951	-0.1401271	0.02980225	0	1	0.03284381	3.015426
490	-8.759934	-8.622065	-0.1378684	0.0295068	0	1	0.03331914	3.100104
500	-6.591252	-7.961373	1.37012	0.01175763	0	1	0.02002615	3.261142
510	-6.800242	-8.649902	1.84966	0.01175763	0	1	0.01239755	3.352677
520	-7.60947	-9.398613	1.789143	0.003896037	0	1	0.02050062	2.886106
530	-7.096416	-8.764522	1.668106	0.009903684	0	1	0.0165005	3.432812
540	-7.084531	-9.070003	1.985471	0.01356077	0	1	0.009778734	3.236898
550	-9.288422	-10.00539	0.7169661	0.01322077	0	1	0.03544033	3.44213
560	-10.67396	-12.03879	1.364832	0.002535117	0	1	0.03383029	3.709565
570	-8.812447	-9.197682	0.385235	0.03654378	0	1	0.01328982	3.456113
580	-10.42919	-8.47043	-1.958757	0	1	0	0.01924605	3.160712
590	-8.450327	-7.369528	-1.080799	0.0531386	0	1	0.02262604	3.398159
600	-11.00471	-9.992858	-1.011854	0.0392492	0	1	0.04614696	3.549315
610	-6.381023	-8.270311	1.889288	0.003795839	0	1	0.01865191	3.259985
620	-6.148145	-8.131257	1.983111	0.005119207	0	1	0.01576273	3.271907
630	-9.550228	-9.138772	-0.4114553	0.04371681	0	1	0.01968785	2.994761
640	-6.344178	-8.391122	2.046944	0.009029014	0	1	0.01186719	3.26719
650	-7.636089	-8.392257	0.7561673	0.02748061	0	1	0.01527362	3.426794
660	-6.355839	-8.121834	1.765995	0.005660273	0	1	0.01899762	3.163006
670	-7.734178	-7.744702	0.01052384	0.03079074	0	1	0.02672185	3.246031
680	-6.889786	-8.422687	1.532901	0.009231608	0	1	0.01961744	3.004158
690	-9.450715	-11.02743	1.57671	0.002227363	0	1	0.02784902	3.628795
700	-6.228814	-7.724939	1.496125	0.01420679	0	1	0.01538203	3.240664
710	-8.288459	-9.109601	0.8211419	0.02257586	0	1	0.01886266	3.5298
720	-6.456439	-7.553773	1.097335	0.01970476	0	1	0.01682006	3.251018
730	-9.252967	-9.977314	0.7243477	0.02023342	0	1	0.02370788	3.618239
740	-6.861699	-8.484689	1.62299	0.01044845	0	1	0.01674078	2.97839
750	-7.145697	-7.467323	0.3216261	0.02925183	0	1	0.02134862	3.291872
760	-7.772103	-7.413481	-0.3586222	0.04231905	0	1	0.02020303	3.365217
770	-6.415645	-8.091378	1.675733	0.007226476	0	1	0.01903792	3.121692
780	-11.27111	-12.11537	0.8442668	0.01136044	0	1	0.0346482	2.611509
790	-11.3345	-9.746313	-1.588187	0	1	0	0.01328633	3.463233
800	-6.514151	-7.792847	1.278696	0.0166693	0	1	0.01664388	3.307623
810	-11.23882	-9.091242	-2.147578	0	1	0	0.02324586	3.040351
820	-7.07335	-8.372971	1.299622	0.02293273	0	1	0.01145722	3.241701
830	-6.904093	-8.773051	1.868958	0.01478613	0	1	0.01025497	3.196252
840	-6.206577	-8.06138	1.854803	0.01030404	0	1	0.01338537	3.263866
850	-7.027137	-9.343318	2.316181	0.0009365707	0	1	0.01429587	2.926137
860	-6.956365	-8.331389	1.375024	0.009652999	0	1	0.02243406	3.290163
870	-9.725913	-11.04297	1.317055	0.01136891	0	1	0.02158461	2.69628
880	-8.108526	-8.07297	-0.03555682	0.03249259	0	1	0.02542633	3.42901
890	-6.463753	-8.003035	1.539282	0.009135127	0	1	0.0195988	3.148882
900	-7.263037	-9.015008	1.751971	0.003927738	0	1	0.02123908	2.954583
910	-6.853261	-9.449336	2.596075	0.003058644	0	1	0.009589322	3.084423
920	-7.86684	-8.458474	0.591634	0.02509849	0	1	0.0205883	3.472257
930	-6.940965	-8.566646	1.625681	0.007962237	0	1	0.01920321	2.981814
940	-6.485377	-7.63353	1.148153	0.01984476	0	1	0.0158612	3.137793
950	-10.24489	-8.391645	-1.853249	0	1	0	0.0173189	3.252409
960	-6.890811	-8.961067	2.070257	0.01105456	0	1	0.01034466	3.284271
970	-6.746311	-8.047835	1.301524	0.01794385	0	1	0.01514218	3.351587
980	-6.894352	-8.832507	1.938155	0.006631684	0	1	0.01514218	3.414574
990	-8.166833	-7.742596	-0.4242371	0.03734339	0	1	0.02854465	3.208652
1000	-7.554637	-8.149339	0.5947015	0.02033627	0	1	0.02683389	3.219356
1010	-6.646972	-8.812881	2.165909	0.002995814	0	1	0.01479593	3.388273
1020	-6.845739	-8.547411	1.701671	0.01100606	0	1	0.01499602	2.98271
1030	-6.506567	-8.437515	1.930948	0.01158504	0	1	0.01154122	3.110355
1040	-8.648451	-9.901447	1.252996	0.02729272	0	1	0.009392138	3.303056
1050	-7.737769	-8.666786	0.9290172	0.0258335	0	1	0.01409717	3.429073
1060	-6.425199	-8.24944	1.824242	0.005807743	0	1	0.01777456	3.059882
1070	-7.316171	-7.555635	0.2394646	0.03281201	0	1	0.01896864	3.357989
1080	-8.291247	-8.255691	-0.03555655	0.03281201	0	1	0.02497332	3.466211
1090	-11.32503	-10.04593	-1.279097	0	1	0	0.009753695	2.998058
1100	-6.844991	-7.922185	1.077193	0.01692447	0	1	0.02006916	3.071587
1110	-8.08989	-7.410193	-0.6796969	0.04778059	0	1	0.02048187	3.380585
1120	-6.703223	-8.080397	1.377173	0.01137918	0	1	0.02031348	3.083327
1130	-8.7482	-8.506083	-0.2421161	0.03076875	0	1	0.03444485	3.210015
1140	-6.382498	-8.208058	1.825559	0.005439998	0	1	0.01812236	3.283735
1150	-10.74382	-11.09084	0.3470212	0.02191907	0	1	0.03144589	2.704227
1160	-6.052539	-8.306488	2.253949	0.002824333	0	1	0.01368038	3.099796
1170	-9.208318	-8.251917	-0.9564013	0.05698264	0	1	0.01609273	3.42191
1180	-6.988178	-7.497391	0.5092131	0.02674185	0	1	0.02038211	3.292589
1190	-6.474349	-7.99575	1.5214	0.01697516	0	1	0.01283435	3.255273
1200	-6.390369	-7.95832	1.567951	0.009028945	0	1	0.01915904	3.188667
1210	-11.29189	-9.220538	-2.071354	0	1	0	0.02153982	2.963877
1220	-7.134226	-8.150939	1.016714	0.01790643	0	1	0.02017412	3.017021
1230	-6.916837	-8.224052	1.307216	0.01103019	0	1	0.02221756	3.093887
1240	-8.176035	-8.635745	0.4597106	0.02012572	0	1	0.03107818	3.17116
1250	-9.33808	-8.197836	-1.140244	0.05946118	0	1	0.01682258	3.236995
1260	-9.058935	-8.633832	-0.425103	0.04675398	0	1	0.01682258	3.095977
1270	-6.647694	-8.528888	1.881194	0.01304005	0	1	0.01117627	3.11726
1280	-6.261886	-8.184862	1.922976	0.009328272	0	1	0.01320908	3.089271
1290	-9.171442	-9.96177	0.7903278	0.01350356	0	1	0.03241345	2.881339
1300	-10.10653	-8.298976	-1.807558	0	1	0	0.01654538	3.160189
1310	-6.004179	-8.110541	2.106363	0.003450782	0	1	0.01530674	3.220426
1320	-6.284077	-8.435075	2.150999	0.008056317	0	1	0.01129619	3.210805
1330	-6.357878	-8.568186	2.210308	0.006585534	0	1	0.01156438	3.091909
1340	-7.196283	-8.298471	1.102188	0.01556691	0	1	0.02112782	3.005941
1350	-10.67602	-7.485339	-3.190684	0.08071864	0	1	0.03952074	3.401186
1360	-11.253	-9.048246	-2.204756	0	1	0	0.02461375	3.171612
1370	-6.535494	-7.497154	0.9616604	0.02304624	0	1	0.01596173	3.20732
1380	-8.217848	-8.818018	0.6001701	0.02676458	0	1	0.01858624	3.510133
1390	-8.68161	-7.762709	-0.9189005	0.04433492	0	1	0.03158432	3.271066
1400	-10.741	-8.682382	-2.058615	0	1	0	0.02126716	3.229101
1410	-7.253314	-9.286746	2.033432	5.788737e-05	0	1	0.01992889	3.436892
1420	-8.786936	-9.159197	0.3722616	0.02548357	0	1	0.02508885	2.894822
1430	-7.105193	-8.282933	1.17774	0.01340143	0	1	0.02212944	3.039553
1440	-7.320178	-8.846875	1.526697	0.004676482	0	1	0.02550765	3.165546
