Iteration	Posterior	Likelihood	Prior	alpha	is_BM	is_OU	sigma2	theta
0	-6.989109	-8.738357	1.749248	0.01582297	0	1	0.01068303	2.935733
10	-6.923683	-9.010875	2.087193	0.01109847	0	1	0.009633499	2.939371
20	-9.921544	-9.403075	-0.5184684	0.04369706	0	1	0.02585842	3.270003
30	-7.206853	-7.086589	-0.1202633	0.04369706	0	1	0.01736456	3.195853
40	-6.134326	-6.300644	0.1663179	0.04677319	0	1	0.01119137	3.190252
50	-8.9704	-9.427642	0.457242	0.02980326	0	1	0.01942667	2.951506
60	-6.336708	-7.4657	1.128992	0.0251764	0	1	0.01248572	3.05467
70	-6.974499	-8.842208	1.86771	0.01182752	0	1	0.01157142	2.990224
80	-10.63092	-12.10932	1.478401	0.01230288	0	1	0.01668065	2.756441
90	-20.89303	-17.16061	-3.732426	0.08131569	0	1	0.09939635	3.329941
100	-15.60461	-8.419575	-7.185039	0.1640821	0	1	0.05157355	3.311216
110	-9.810773	-7.320834	-2.489939	0.08923025	0	1	0.0193701	3.311216
120	-6.680476	-9.000553	2.320077	0.004113909	0	1	0.0107951	3.219655
130	-7.469185	-6.079917	-1.389267	0.06992882	0	1	0.01679747	3.186934
140	-6.266236	-7.438467	1.172231	0.03327714	0	1	0.007998121	3.054738
150	-5.876283	-7.079177	1.202895	0.02570952	0	1	0.01129339	3.09093
160	-5.69989	-8.123866	2.423976	0.01123933	0	1	0.006830999	3.217493
170	-7.017272	-7.239351	0.2220794	0.04981107	0	1	0.009102731	3.083421
180	-6.06189	-6.633339	0.5714487	0.04028171	0	1	0.01030125	3.223798
190	-8.29573	-6.712969	-1.582761	0.06896497	0	1	0.02138243	3.118486
200	-7.156674	-7.810555	0.6538812	0.03217473	0	1	0.01418638	3.310027
210	-5.519368	-6.965744	1.446375	0.02420339	0	1	0.009540109	3.115803
220	-6.962153	-6.417262	-0.5448909	0.05318245	0	1	0.01657973	3.179755
230	-6.608969	-8.194603	1.585634	0.01571314	0	1	0.01265082	3.140731
240	-10.03739	-8.335872	-1.701523	0.06598142	0	1	0.02792275	3.287091
250	-5.593604	-6.958833	1.365229	0.0243917	0	1	0.01025026	3.155798
260	-6.911499	-8.252444	1.340946	0.02488087	0	1	0.01025026	2.934916
