Iteration	Posterior	Likelihood	Prior	alpha	is_BM	is_OU	sigma2	theta
0	-10.54392	-8.741029	-1.802888	0.0691239	0	1	0.02745488	3.199078
10	-10.24075	-7.817568	-2.423184	0.08595773	0	1	0.02242511	3.233896
20	-11.8483	-8.759935	-3.088365	0.1020356	0	1	0.01987869	3.291522
30	-8.912809	-9.857421	0.9446112	0.03375631	0	1	0.009908951	3.114564
40	-9.967435	-9.185837	-0.7815976	0.0578656	0	1	0.01714044	3.32223
50	-8.896871	-9.701642	0.8047708	0.03635888	0	1	0.01003514	3.200787
60	-11.81838	-12.37791	0.5595373	0.04295423	0	1	0.009290713	2.966084
70	-9.287087	-7.976232	-1.310854	0.06774036	0	1	0.01795958	3.219483
80	-9.630827	-10.68372	1.052894	0.02362567	0	1	0.0145885	3.017363
90	-8.862525	-9.841457	0.9789328	0.02685911	0	1	0.01341239	3.218633
100	-8.716114	-10.01473	1.298619	0.02437456	0	1	0.01100018	3.136025
110	-9.312944	-9.703701	0.3907571	0.03466285	0	1	0.0164939	3.264978
120	-8.518287	-9.219362	0.7010747	0.03466285	0	1	0.01209356	3.175553
130	-8.920624	-9.997069	1.076445	0.03190427	0	1	0.009507807	3.175748
140	-9.557803	-8.790495	-0.7673076	0.0529771	0	1	0.02145695	3.170796
150	-8.649179	-8.477394	-0.1717848	0.04763949	0	1	0.01535393	3.159169
160	-10.30741	-7.878613	-2.428802	0.08412688	0	1	0.0246622	3.216317
170	-9.503263	-9.90007	0.3968069	0.03420588	0	1	0.01676465	3.03849
180	-8.908073	-8.933341	0.02526824	0.04873128	0	1	0.01195277	3.115447
190	-9.85255	-11.44294	1.590389	0.01488043	0	1	0.0130673	3.321008
200	-9.704952	-11.915	2.210052	0.00590008	0	1	0.01090602	3.15181
210	-9.467502	-11.50053	2.033027	0.009522492	0	1	0.01090602	3.227676
220	-9.146482	-8.103265	-1.043218	0.06501626	0	1	0.01569923	3.214707
230	-11.93962	-7.79302	-4.146602	0.1179341	0	1	0.02633589	3.168515
240	-9.926978	-10.59867	0.671687	0.02805182	0	1	0.01720393	3.021348
250	-10.47167	-10.08994	-0.3817325	0.04663842	0	1	0.01989047	2.978297
260	-10.33704	-8.570225	-1.766811	0.07308009	0	1	0.02182664	3.071493
270	-9.916005	-11.78675	1.870744	0.01752503	0	1	0.008675639	3.310303
280	-10.17176	-10.17764	0.005879026	0.05396681	0	1	0.009435655	3.175677
290	-8.975895	-9.820925	0.8450299	0.03539847	0	1	0.01010235	3.097835
300	-10.51314	-10.6716	0.1584602	0.03539847	0	1	0.02007225	3.337237
310	-8.711285	-8.925619	0.2143335	0.04061075	0	1	0.01471318	3.218378
320	-9.098741	-8.61107	-0.4876708	0.05353613	0	1	0.01578551	3.258937
330	-10.93292	-12.58828	1.65536	0.02715433	0	1	0.006721588	3.192857
340	-11.47523	-12.77766	1.302426	0.02880665	0	1	0.008824315	2.930527
350	-13.64407	-14.02426	0.3801941	0.02731524	0	1	0.0238701	2.77845
360	-10.29514	-9.292417	-1.002726	0.07014694	0	1	0.01173279	3.174206
370	-10.7069	-9.198554	-1.508351	0.06860073	0	1	0.0209801	3.024776
380	-10.14564	-12.69438	2.548741	0.006951335	0	1	0.007383529	3.156669
390	-10.09035	-7.760299	-2.330055	0.08468722	0	1	0.02173971	3.156669
400	-9.883785	-8.158701	-1.725084	0.07593433	0	1	0.01820906	3.110676
410	-9.964939	-9.626876	-0.3380634	0.05792674	0	1	0.0109673	3.102893
420	-9.16826	-8.385205	-0.7830547	0.05792674	0	1	0.01711422	3.099198
430	-9.424109	-10.74924	1.325135	0.0200673	0	1	0.01322209	3.288302
440	-9.428424	-11.34589	1.917465	0.0175695	0	1	0.008261649	3.135254
450	-9.283	-8.22819	-1.05481	0.06340155	0	1	0.01718633	3.108528
460	-10.05905	-7.969259	-2.089796	0.07951697	0	1	0.02201115	3.244077
470	-9.48069	-8.73201	-0.7486801	0.05581878	0	1	0.0183302	3.276659
480	-10.49986	-9.593672	-0.9061874	0.05243791	0	1	0.02531199	3.105732
490	-9.923535	-11.07043	1.146898	0.0194804	0	1	0.0162616	3.088133
500	-10.30593	-8.235658	-2.070271	0.08228366	0	1	0.01885575	3.106979
510	-9.283628	-8.855599	-0.4280295	0.0482891	0	1	0.01921844	3.216778
520	-9.058712	-10.40002	1.341303	0.02765444	0	1	0.008979471	3.156857
530	-9.176288	-10.36346	1.187172	0.02192021	0	1	0.01386407	3.102045
540	-11.33332	-10.11886	-1.214459	0.05564468	0	1	0.02945422	3.099339
550	-9.542974	-9.503752	-0.03922171	0.04375831	0	1	0.01625628	3.313844
560	-9.00692	-8.923959	-0.08296156	0.04338399	0	1	0.01729664	3.119817
570	-9.015631	-8.37091	-0.6447213	0.05392354	0	1	0.01812352	3.200159
580	-10.42704	-9.497852	-0.9291902	0.05376628	0	1	0.024273	3.270789
590	-8.960894	-9.915457	0.9545628	0.02954443	0	1	0.01205306	3.270789
600	-9.899923	-11.46038	1.560461	0.01389214	0	1	0.01413055	3.065757
610	-9.012674	-8.523714	-0.4889601	0.05101848	0	1	0.01787527	3.128543
620	-9.476554	-9.995449	0.5188952	0.04072523	0	1	0.01078965	3.040967
630	-8.642841	-8.970545	0.3277045	0.04219595	0	1	0.012157	3.119867
640	-8.753936	-9.372208	0.6182722	0.03567486	0	1	0.01250363	3.080254
650	-9.675354	-9.323212	-0.3521418	0.04851417	0	1	0.0176191	3.31059
660	-11.51745	-10.27208	-1.24537	0.06421191	0	1	0.0199868	3.392421
670	-11.34559	-9.551741	-1.793853	0.06938871	0	1	0.02685812	3.332634
680	-13.08545	-9.028525	-4.056928	0.1061637	0	1	0.04279722	3.192732
690	-11.43741	-11.24282	-0.1945911	0.03751792	0	1	0.02575975	3.284422
700	-12.27151	-13.31488	1.043371	0.03354275	0	1	0.009071296	2.906249
710	-9.38969	-8.146945	-1.242745	0.0634896	0	1	0.02065065	3.187837
720	-10.12406	-9.479582	-0.6444795	0.05677355	0	1	0.01576339	3.33439
730	-9.474584	-9.376718	-0.09786528	0.04443602	0	1	0.01667656	3.028976
740	-10.06105	-8.558329	-1.502726	0.06897029	0	1	0.02048901	3.071118
750	-10.48018	-9.958708	-0.5214717	0.0461072	0	1	0.02347511	3.058195
760	-10.43299	-10.43231	-0.0006743883	0.03677525	0	1	0.02200325	3.25874
770	-13.08831	-13.86461	0.776305	0.01721801	0	1	0.02631032	3.25874
780	-10.1704	-12.12168	1.951274	0.009947315	0	1	0.01159191	3.356662
790	-10.84466	-10.33006	-0.5146023	0.05197954	0	1	0.01749812	3.389013
800	-10.58276	-11.66927	1.086504	0.01921658	0	1	0.01749812	3.012752
810	-10.37603	-8.628925	-1.747107	0.07222589	0	1	0.02231304	3.069175
820	-8.77192	-9.697905	0.9259855	0.02912503	0	1	0.0126593	3.232745
830	-10.63751	-10.58096	-0.05655115	0.04616391	0	1	0.0147059	3.388641
840	-18.86779	-10.42819	-8.439598	0.1925702	0	1	0.0502247	3.388641
850	-11.90402	-9.536066	-2.367952	0.07689277	0	1	0.03304758	3.080768
860	-9.321429	-8.527545	-0.7938833	0.0553456	0	1	0.01962643	3.226088
870	-8.970137	-8.26278	-0.7073568	0.0553456	0	1	0.01799962	3.176883
880	-8.811352	-8.86986	0.0585082	0.04175295	0	1	0.01626069	3.185667
890	-9.852068	-7.892451	-1.959617	0.07667467	0	1	0.02220398	3.155077
900	-10.08907	-7.951784	-2.137281	0.07890376	0	1	0.02378373	3.155077
910	-10.71464	-9.20847	-1.506165	0.06372943	0	1	0.02656106	3.084561
920	-9.541119	-9.612356	0.07123732	0.0481308	0	1	0.01175572	3.049033
930	-10.17106	-9.848691	-0.3223698	0.05334483	0	1	0.01350608	3.007927
940	-8.917834	-9.550448	0.632614	0.03306625	0	1	0.01400142	3.06956
950	-11.54069	-11.31021	-0.2304882	0.03892055	0	1	0.02493231	3.346364
960	-17.11221	-17.19732	0.08511403	0.02113773	0	1	0.04336263	3.025816
970	-11.45542	-12.4085	0.9530801	0.02567899	0	1	0.01458077	2.846901
980	-10.22289	-11.42395	1.201063	0.02984955	0	1	0.009280432	3.333998
990	-10.28069	-9.254475	-1.026216	0.05502863	0	1	0.02514603	3.182377
1000	-10.23877	-8.27021	-1.968564	0.07384196	0	1	0.02572984	3.182377
1010	-9.970766	-8.679816	-1.29095	0.06129314	0	1	0.02412602	3.182377
1020	-11.81122	-9.119625	-2.691592	0.08839309	0	1	0.02603846	3.338053
