Iteration	Posterior	Likelihood	Prior	alpha	is_BM	is_OU	sigma2	theta
0	-10.69493	-9.395817	-1.299115	0.06409068	0	1	0.01814356	3.075409
10	-12.06244	-9.368434	-2.69401	0.07992715	0	1	0.03192579	3.223683
20	-12.43465	-11.11508	-1.319575	0.05415844	0	1	0.03116212	3.054862
30	-11.10579	-12.99342	1.88763	0.01243079	0	1	0.01122831	3.244482
40	-10.5689	-11.64739	1.078483	0.02722814	0	1	0.01161428	3.101703
50	-11.26785	-8.996107	-2.271745	0.07573945	0	1	0.02606454	3.229996
60	-10.93561	-9.028218	-1.907395	0.07173492	0	1	0.02233274	3.099317
70	-10.25216	-10.06859	-0.1835714	0.04318012	0	1	0.01778651	3.124236
80	-10.86693	-10.78231	-0.08461652	0.03976036	0	1	0.0192724	3.000727
90	-12.02044	-9.93556	-2.084885	0.06855047	0	1	0.03151307	3.14106
100	-13.73196	-14.65967	0.9277061	0.01442815	0	1	0.02640899	3.007715
110	-13.9715	-13.6767	-0.2947961	0.03284827	0	1	0.0341592	3.181167
120	-11.17377	-10.88041	-0.2933638	0.04263317	0	1	0.0204277	2.971315
130	-15.60664	-8.739641	-6.866996	0.1518983	0	1	0.0477161	3.139563
140	-11.97982	-8.337915	-3.641902	0.09958016	0	1	0.02941575	3.192377
150	-10.67287	-10.71714	0.04426998	0.03857876	0	1	0.01802394	3.274106
160	-11.14687	-9.855266	-1.2916	0.06400947	0	1	0.01808451	3.026622
170	-12.89192	-12.7881	-0.1038186	0.04286704	0	1	0.01669472	2.803251
180	-11.01648	-8.945732	-2.07075	0.07824595	0	1	0.01869479	3.116071
190	-10.69067	-11.89424	1.203574	0.02210932	0	1	0.01340141	3.022908
200	-12.50609	-14.3936	1.887515	0.0182547	0	1	0.008276267	3.270392
210	-17.26122	-15.77192	-1.489296	0	1	0	0.01203532	3.653768
220	-10.55831	-9.57095	-0.987364	0.0618793	0	1	0.01491603	3.198096
230	-13.24111	-14.10368	0.8625726	0.01698424	0	1	0.02465314	3.364147
240	-11.79649	-11.40219	-0.3943001	0.04307202	0	1	0.02208356	3.377368
250	-11.9151	-9.908487	-2.006615	0.07230027	0	1	0.02394239	3.00747
260	-10.76293	-10.641	-0.1219283	0.03912636	0	1	0.02068081	3.107759
270	-10.27503	-10.16817	-0.1068608	0.04256048	0	1	0.01701674	3.082489
280	-11.73747	-12.44072	0.7032511	0.02625639	0	1	0.01778553	3.421266
290	-15.76193	-14.29465	-1.467285	0	1	0	0.0117733	3.314569
300	-11.92603	-9.714504	-2.211527	0.07347233	0	1	0.02763682	3.306345
310	-11.62349	-8.489336	-3.134155	0.09633625	0	1	0.02098395	3.224418
320	-10.95906	-8.80306	-2.155999	0.0756687	0	1	0.02330193	3.224418
330	-11.08525	-8.558084	-2.527162	0.08368292	0	1	0.02219288	3.224418
340	-11.70867	-12.37654	0.667866	0.03809555	0	1	0.009908804	3.042916
350	-12.65374	-11.82672	-0.8270146	0.04498698	0	1	0.03079056	3.246131
360	-10.71572	-10.92727	0.2115499	0.03423698	0	1	0.01914269	3.076154
370	-12.13138	-12.47419	0.3428153	0.04051117	0	1	0.01208423	2.908386
380	-11.62327	-13.89936	2.276086	0.003615175	0	1	0.01208423	3.326063
390	-16.08599	-19.12561	3.039617	0.001985785	0	1	0.006133387	3.461215
400	-13.36292	-14.76052	1.397603	0.008746176	0	1	0.02223195	2.934719
410	-11.41384	-12.06873	0.654887	0.02824777	0	1	0.01681725	3.391298
420	-11.41311	-13.12639	1.71328	0.01813774	0	1	0.009912099	3.023174
430	-11.72784	-12.87984	1.151994	0.01885354	0	1	0.01673556	3.415566
440	-11.18477	-12.48734	1.302576	0.01647576	0	1	0.01630617	3.040789
450	-13.31381	-13.24106	-0.07275319	0.05288614	0	1	0.009573968	3.037522
460	-11.29911	-12.61463	1.315516	0.02634314	0	1	0.009598189	3.143594
470	-11.234	-9.069689	-2.164313	0.08099703	0	1	0.01777259	3.243825
480	-11.4963	-9.896583	-1.59972	0.06249775	0	1	0.02663929	3.069403
490	-10.4569	-10.44662	-0.01028114	0.04504516	0	1	0.0135641	3.067311
500	-10.20433	-10.00881	-0.1955129	0.04575917	0	1	0.0157249	3.207053
510	-10.69714	-9.3303	-1.366841	0.06806224	0	1	0.01576734	3.135846
520	-11.94272	-11.52962	-0.4131052	0.04284346	0	1	0.02277388	3.38335
530	-11.67589	-10.67409	-1.001806	0.0592068	0	1	0.01740768	2.965766
540	-11.8056	-10.76826	-1.037344	0.05255564	0	1	0.02555815	2.989648
550	-17.64352	-11.50108	-6.142439	0.1310792	0	1	0.06882642	3.072365
560	-12.86075	-9.823631	-3.037123	0.08759392	0	1	0.03010841	3.34729
570	-15.89685	-14.6216	-1.275244	0	1	0	0.009716187	3.258626
580	-11.14451	-11.3341	0.1895959	0.03272196	0	1	0.02118425	3.076516
590	-11.70771	-11.26362	-0.4440913	0.04376694	0	1	0.022381	3.361544
600	-11.77881	-8.780467	-2.998344	0.08705057	0	1	0.02979963	3.206347
610	-11.61698	-10.14944	-1.467534	0.05893293	0	1	0.02813431	3.212834
620	-10.23779	-10.89763	0.6598343	0.03174032	0	1	0.01393573	3.137519
630	-10.72318	-12.02194	1.298763	0.01955481	0	1	0.01392968	3.05256
640	-13.79929	-12.55887	-1.240416	0.05679173	0	1	0.02507988	3.499612
650	-10.64302	-9.35424	-1.288783	0.06700663	0	1	0.01541274	3.173296
660	-11.3336	-12.14831	0.8147077	0.02252765	0	1	0.01934254	3.214646
670	-10.9336	-8.747133	-2.186468	0.07626757	0	1	0.02328074	3.214646
680	-10.61323	-10.71444	0.1012047	0.03648477	0	1	0.0190009	3.202632
690	-10.63099	-11.90305	1.27206	0.02004925	0	1	0.01394077	3.18782
700	-10.81423	-9.00595	-1.808283	0.06988918	0	1	0.02227922	3.113929
710	-10.35112	-10.99706	0.645941	0.03160849	0	1	0.01422864	3.059988
720	-13.51908	-10.63783	-2.881255	0.08171782	0	1	0.03505196	2.998219
730	-10.311	-10.11188	-0.1991216	0.04354949	0	1	0.01771898	3.208184
740	-12.57574	-13.89217	1.316432	0.0167443	0	1	0.01585711	2.738848
750	-14.10869	-13.66018	-0.4485077	0.03506963	0	1	0.03545801	3.089966
760	-13.12839	-8.756197	-4.372189	0.1169894	0	1	0.02452299	3.287048
770	-11.58789	-10.21622	-1.371671	0.07033855	0	1	0.01406229	3.086099
780	-13.2258	-13.57229	0.3464958	0.02819026	0	1	0.02296129	2.74908
790	-13.28623	-11.25574	-2.03049	0.07967254	0	1	0.01666373	2.992263
800	-12.95666	-11.97792	-0.9787412	0.04675248	0	1	0.03266899	3.05507
810	-11.28287	-10.17661	-1.106264	0.06027779	0	1	0.01826985	3.330392
820	-11.29898	-10.51255	-0.7864386	0.05331809	0	1	0.01910786	3.346551
830	-10.48098	-11.45754	0.9765636	0.02874021	0	1	0.01188083	3.154386
840	-10.52795	-10.64924	0.1212921	0.04450924	0	1	0.01223051	3.143923
850	-10.95007	-9.029707	-1.92036	0.07061508	0	1	0.02399143	3.220137
