Iteration	Posterior	Likelihood	Prior	alpha	is_BM	is_OU	sigma2	theta
0	-15.07674	-15.48705	0.410314	0.03350286	0	1	0.0159737	2.510456
10	-10.16553	-10.72878	0.5632442	0.02852216	0	1	0.0179217	2.998335
20	-9.291316	-10.30656	1.015242	0.03067479	0	1	0.01015724	3.004117
30	-10.37417	-11.78154	1.407371	0.01649566	0	1	0.01471696	2.877865
40	-10.00263	-9.466144	-0.5364824	0.04682483	0	1	0.020104	3.178209
50	-11.81729	-10.78415	-1.033141	0.05712167	0	1	0.01898276	2.878415
60	-13.81697	-8.084951	-5.732018	0.132909	0	1	0.03532132	3.162855
70	-17.5562	-10.75575	-6.80045	0.1451224	0	1	0.05328984	3.033992
80	-11.64236	-11.26771	-0.3746425	0.03917953	0	1	0.02580202	3.032672
90	-9.048385	-9.815589	0.7672042	0.03238413	0	1	0.01187279	3.164883
100	-9.51849	-9.103741	-0.4147494	0.04919143	0	1	0.01567152	3.228695
110	-9.727849	-9.541085	-0.1867643	0.04328587	0	1	0.01714356	2.995606
120	-9.869715	-9.830318	-0.03939687	0.03883064	0	1	0.01880232	3.139349
130	-12.00497	-13.75813	1.753162	0.006025096	0	1	0.01829456	3.278452
140	-9.974843	-8.225725	-1.749119	0.07246576	0	1	0.01701137	3.195697
150	-11.37524	-8.59315	-2.782088	0.08698382	0	1	0.02188216	3.069345
160	-8.950913	-9.356958	0.4060449	0.03781014	0	1	0.01272347	3.099539
170	-10.23355	-9.978014	-0.2555393	0.04246232	0	1	0.01919618	2.96916
180	-11.11322	-9.633995	-1.479223	0.06047253	0	1	0.02476204	3.017259
190	-12.88221	-11.02487	-1.857345	0.06516538	0	1	0.02807624	3.393773
200	-11.18379	-13.47833	2.294538	0.00123414	0	1	0.01377723	2.967733
210	-9.604321	-10.7489	1.144576	0.02294535	0	1	0.0135279	3.235038
220	-9.596316	-9.693983	0.09766726	0.03764885	0	1	0.01747034	3.093738
230	-10.51349	-12.59322	2.079726	0.007270886	0	1	0.01234199	2.88738
240	-11.39137	-11.46297	0.07160045	0.03274325	0	1	0.02334843	2.996758
250	-10.71883	-11.39955	0.6807121	0.02806356	0	1	0.01633353	2.80882
260	-9.628308	-8.848102	-0.7802051	0.05304099	0	1	0.01835984	3.081377
270	-12.16523	-9.088972	-3.076253	0.08461996	0	1	0.03334906	3.165169
280	-12.26324	-7.826475	-4.436769	0.1150117	0	1	0.02533643	3.183764
290	-9.646828	-10.44977	0.8029439	0.02690444	0	1	0.01538446	2.994649
300	-10.05713	-11.77228	1.715148	0.01348462	0	1	0.01272081	3.304635
310	-10.01971	-12.62185	2.602149	0.002606871	0	1	0.00940784	3.271209
320	-9.030456	-9.511273	0.4808166	0.03850404	0	1	0.01137411	3.092919
330	-9.614476	-11.0446	1.430121	0.01783892	0	1	0.01338283	3.16681
340	-11.03533	-8.069795	-2.965531	0.08907113	0	1	0.02349533	3.229056
350	-9.416482	-8.67921	-0.7372717	0.05590354	0	1	0.01507753	3.078553
360	-12.3313	-13.10091	0.7696009	0.02461285	0	1	0.01799341	2.642335
370	-9.690714	-10.72431	1.033601	0.02286111	0	1	0.01518431	3.119587
380	-9.060273	-9.552388	0.4921156	0.03480264	0	1	0.0137248	3.058409
390	-10.22799	-10.97851	0.7505176	0.0390797	0	1	0.008420458	3.088286
400	-10.22187	-11.67405	1.452173	0.02762277	0	1	0.007732842	3.141547
410	-9.919734	-12.32316	2.403428	0.004620457	0	1	0.01029767	3.23843
420	-12.99969	-13.55049	0.5508057	0.03252202	0	1	0.01463226	3.565302
430	-10.34949	-11.68052	1.33103	0.01723531	0	1	0.0152647	2.907638
440	-9.409779	-11.17862	1.768838	0.01735444	0	1	0.009789647	2.998196
450	-9.299711	-8.614928	-0.6847832	0.05476317	0	1	0.01521189	3.101849
460	-10.47799	-12.4929	2.01491	0.008900998	0	1	0.01206261	3.398718
470	-9.831175	-11.63375	1.802579	0.02036534	0	1	0.008049216	3.033623
480	-9.541367	-9.829067	0.2877003	0.03499516	0	1	0.01666416	3.147577
490	-14.1069	-12.19891	-1.907982	0.06477792	0	1	0.03015673	2.840527
500	-11.55072	-8.205994	-3.344724	0.1001968	0	1	0.01886581	3.211776
510	-10.26969	-10.58256	0.3128729	0.03184201	0	1	0.01925461	3.046682
520	-9.257106	-9.120122	-0.1369834	0.04343193	0	1	0.01618335	3.116366
530	-13.17368	-11.60169	-1.572	0.06465644	0	1	0.02169241	3.447162
540	-10.61536	-13.09917	2.483809	0.0003053073	0	1	0.01198582	3.344598
550	-9.660899	-11.31736	1.656465	0.02048454	0	1	0.009256029	2.944765
560	-14.73315	-13.22018	-1.512968	0	1	0	0.01232361	3.360008
570	-9.584175	-10.38578	0.801601	0.02680264	0	1	0.01548974	3.043321
580	-10.28427	-12.97552	2.69125	0.003344638	0	1	0.008270913	3.325593
590	-11.003	-13.57887	2.575869	0.005443104	0	1	0.008291349	2.841943
600	-9.055138	-9.424767	0.369629	0.03692436	0	1	0.01383949	3.145402
610	-9.679398	-11.34478	1.665386	0.02149915	0	1	0.008686416	2.984961
620	-9.375406	-10.85776	1.482358	0.01819754	0	1	0.01245896	3.075287
630	-11.51749	-7.896962	-3.620529	0.09986396	0	1	0.02530658	3.160792
640	-12.31256	-8.309967	-4.002594	0.103588	0	1	0.03034861	3.126799
650	-9.454672	-10.23803	0.783357	0.0278942	0	1	0.01487509	3.018522
660	-9.043419	-9.122244	0.07882503	0.04207995	0	1	0.01402612	3.141949
670	-12.70798	-13.79608	1.088096	0.023725	0	1	0.01372588	3.599545
680	-10.96912	-13.0467	2.077584	0.0106043	0	1	0.01033759	2.746115
690	-10.8241	-11.35729	0.5331896	0.03235502	0	1	0.01502672	2.790022
700	-10.64055	-10.29235	-0.3482017	0.05193145	0	1	0.01265261	2.946137
710	-14.53403	-13.98369	-0.550343	0.04177362	0	1	0.026751	3.571475
720	-10.07521	-9.635654	-0.4395584	0.04611881	0	1	0.0189534	2.991501
730	-10.0533	-12.06011	2.006808	0.008207586	0	1	0.01262304	3.062236
740	-13.57231	-14.44296	0.8706496	0.03227342	0	1	0.01076996	3.538073
750	-12.11243	-10.10994	-2.002492	0.07702003	0	1	0.01715349	2.984646
760	-12.53388	-8.268196	-4.265683	0.1067303	0	1	0.03334006	3.17378
770	-15.22108	-14.04247	-1.178608	0	1	0	0.008821195	2.849665
780	-9.519777	-8.866972	-0.6528046	0.05408254	0	1	0.01528271	3.04645
790	-11.02694	-10.03288	-0.9940618	0.05408254	0	1	0.02149842	2.943643
800	-9.999714	-9.135561	-0.8641526	0.05965818	0	1	0.01398603	3.035051
810	-12.05976	-11.45294	-0.6068171	0.04332973	0	1	0.02603172	3.321543
820	-9.806836	-12.23125	2.42441	0.007641981	0	1	0.008570753	3.17219
830	-11.08322	-9.981874	-1.10135	0.05263072	0	1	0.02587781	3.099288
840	-8.950855	-9.422221	0.4713653	0.03646546	0	1	0.01281328	3.099288
850	-10.2353	-10.21954	-0.01576029	0.03967016	0	1	0.01755205	2.919109
860	-9.283561	-10.91738	1.63382	0.01756444	0	1	0.01107891	3.143811
870	-14.19421	-12.82334	-1.370862	0	1	0	0.01069109	3.206886
880	-9.88318	-10.74172	0.8585385	0.03604937	0	1	0.008896855	3.171298
890	-9.351079	-10.07304	0.7219567	0.02917754	0	1	0.01476169	3.041403
900	-9.800473	-10.93913	1.138658	0.02088289	0	1	0.01520536	3.112463
910	-9.586889	-11.38114	1.794254	0.01363146	0	1	0.0116608	3.199186
920	-10.38806	-10.251	-0.1370596	0.03865178	0	1	0.02093174	3.146918
930	-13.59206	-13.25941	-0.3326532	0.03878763	0	1	0.0252683	2.697164
940	-10.06406	-12.36784	2.303773	0.006183936	0	1	0.01045882	3.320959
950	-9.882613	-11.77452	1.891904	0.01052831	0	1	0.01249783	3.197532
960	-9.677909	-8.648647	-1.029263	0.057402	0	1	0.01862619	3.09465
970	-13.06573	-8.619093	-4.446641	0.1102638	0	1	0.03303574	3.28815
980	-11.22446	-12.29272	1.068268	0.01767076	0	1	0.01939226	3.146921
990	-11.05515	-9.257987	-1.797166	0.06484806	0	1	0.02689172	3.146921
1000	-12.28815	-9.806413	-2.481733	0.07868565	0	1	0.02532569	2.982704
1010	-10.96181	-9.898389	-1.063421	0.05232663	0	1	0.02532569	3.157063
1020	-9.58361	-8.588117	-0.9954936	0.05844366	0	1	0.01702615	3.201261
1030	-9.938772	-11.57766	1.638886	0.01598767	0	1	0.01199895	3.315926
1040	-17.67652	-16.47414	-1.202383	0	1	0	0.009033426	3.824729
1050	-10.30791	-8.33675	-1.97116	0.07606685	0	1	0.01749924	3.101736
1060	-13.64689	-10.0502	-3.596696	0.0930012	0	1	0.0357482	3.020892
1070	-9.184476	-10.55262	1.368148	0.02396345	0	1	0.01024101	3.156967
1080	-10.39037	-8.975314	-1.415055	0.06044441	0	1	0.02325815	3.1494
1090	-11.52583	-12.64925	1.123413	0.01793011	0	1	0.0180975	3.399662
1100	-10.36276	-10.5565	0.1937401	0.03559202	0	1	0.01772729	3.301409
1110	-11.03944	-13.28242	2.242985	0.007252576	0	1	0.01049326	2.761008
1120	-10.10213	-11.1238	1.02167	0.02265771	0	1	0.01553565	2.914982
1130	-9.78422	-11.33712	1.552897	0.02031931	0	1	0.01035774	2.884805
1140	-9.414365	-9.480987	0.0666221	0.0454267	0	1	0.01185849	3.206985
1150	-11.16248	-12.05862	0.8961365	0.03310469	0	1	0.01003968	2.818719
1160	-12.51118	-12.99225	0.4810739	0.02392897	0	1	0.02491151	3.242363
1170	-10.8596	-11.40778	0.5481804	0.04295491	0	1	0.008368597	3.197491
1180	-12.30499	-8.077308	-4.227678	0.1132494	0	1	0.02260064	3.237809
1190	-9.315039	-9.414161	0.09912237	0.04420994	0	1	0.01225599	3.0268
1200	-10.72592	-12.94363	2.217717	0.006436985	0	1	0.01124457	2.8249
1210	-9.861872	-9.105986	-0.7558857	0.05341459	0	1	0.01756211	3.249412
1220	-10.34144	-8.416767	-1.92467	0.07468924	0	1	0.01798959	3.085798
1230	-12.98884	-8.43101	-4.557832	0.1162842	0	1	0.02670458	3.109345
1240	-9.836085	-9.987397	0.1513118	0.0463467	0	1	0.01036932	3.038066
1250	-10.87215	-10.50496	-0.3671885	0.04764318	0	1	0.01624186	2.878949
1260	-9.030843	-10.22701	1.196164	0.02523144	0	1	0.01136067	3.083302
1270	-10.00712	-10.39665	0.3895309	0.03439652	0	1	0.01554347	2.897964
1280	-9.211754	-9.478076	0.2663217	0.03843717	0	1	0.01414602	3.016895
1290	-9.730966	-11.05069	1.319729	0.01885983	0	1	0.01414602	3.172554
1300	-17.42628	-16.35058	-1.075705	0.0434704	0	1	0.04129059	3.627185
1310	-14.52002	-9.156684	-5.363341	0.1339334	0	1	0.02311968	3.294108
1320	-12.59327	-8.406504	-4.186768	0.1146898	0	1	0.02007681	3.170546
1330	-9.892935	-10.01922	0.1262845	0.03786323	0	1	0.01678276	2.949893
1340	-11.12067	-12.12034	0.9996717	0.02585072	0	1	0.01337421	2.723364
1350	-13.26613	-9.670065	-3.596065	0.09138605	0	1	0.03896934	3.111803
1360	-13.00501	-12.01524	-0.9897667	0.05399606	0	1	0.02150612	3.470644
1370	-11.28912	-12.99686	1.707741	0.01524315	0	1	0.01165837	3.514118
1380	-9.303352	-9.398992	0.09564003	0.04514531	0	1	0.01169506	3.052874
1390	-9.467039	-10.4821	1.015061	0.02444067	0	1	0.01420806	3.011919
1400	-9.698468	-10.98135	1.282885	0.0192202	0	1	0.01439507	3.087913
1410	-9.510556	-8.484054	-1.026502	0.06151936	0	1	0.01488365	3.170457
1420	-9.919511	-11.35549	1.435977	0.01704689	0	1	0.01388395	3.240187
1430	-9.180852	-9.997006	0.8161545	0.02902797	0	1	0.01354321	3.153291
1440	-9.832223	-10.87128	1.039061	0.02232801	0	1	0.01554108	3.02893
1450	-10.52985	-11.23194	0.7020906	0.03076911	0	1	0.01382202	2.805219
1460	-9.540858	-11.19245	1.651588	0.01506111	0	1	0.01245314	3.117976
1470	-15.61385	-10.14518	-5.468671	0.1196793	0	1	0.05531231	3.165541
1480	-9.230595	-10.71928	1.488685	0.02277325	0	1	0.00967849	3.13159
1490	-12.13468	-13.36882	1.234145	0.01535054	0	1	0.01861267	3.476186
1500	-12.51002	-12.08152	-0.4284958	0.03789965	0	1	0.02917095	3.083888
1510	-9.416458	-10.45385	1.037388	0.02431673	0	1	0.01398732	3.156858
1520	-11.01429	-10.30303	-0.7112568	0.04850243	0	1	0.02187678	2.935986
1530	-10.52793	-10.98543	0.4575087	0.02917869	0	1	0.01922903	3.208363
1540	-11.62598	-11.87139	0.2454131	0.03277786	0	1	0.01958678	3.417462
1550	-10.12607	-8.696943	-1.429122	0.06844306	0	1	0.01533805	3.075494
1560	-12.75718	-10.93892	-1.818259	0.06723537	0	1	0.02415416	2.896218
1570	-10.91155	-10.90461	-0.006935601	0.04226737	0	1	0.01512875	2.84101
1580	-9.997294	-9.994474	-0.002820369	0.03772976	0	1	0.01923323	3.079041
1590	-9.696762	-10.8527	1.15594	0.02110587	0	1	0.0147666	3.131172
1600	-8.992867	-9.858214	0.8653466	0.03178503	0	1	0.01111553	3.070783
1610	-10.41691	-10.5506	0.1336903	0.03675322	0	1	0.01768423	2.89181
1620	-9.895033	-9.663641	-0.2313912	0.05079439	0	1	0.01196799	3.244557
1630	-9.408435	-9.94368	0.535245	0.03161237	0	1	0.01560724	3.064999
1640	-9.532936	-8.49293	-1.040006	0.06142245	0	1	0.01516487	3.183005
1650	-9.876797	-8.554385	-1.322412	0.06280797	0	1	0.01866847	3.217482
1660	-9.333575	-10.2486	0.9150247	0.03158512	0	1	0.0106912	2.978149
1670	-10.9918	-12.37104	1.379248	0.02019975	0	1	0.01240149	3.462004
1680	-9.631899	-10.29431	0.6624137	0.03837835	0	1	0.009549665	3.043318
1690	-9.374063	-9.071034	-0.303029	0.051324	0	1	0.0124956	3.07744
1700	-10.70946	-11.84576	1.136295	0.02484731	0	1	0.0123135	2.76067
1710	-9.699187	-9.136664	-0.5625229	0.04989844	0	1	0.01748907	3.226567
1720	-9.513146	-10.15613	0.6429876	0.03103524	0	1	0.01445508	2.95638
1730	-10.75974	-8.609403	-2.150341	0.07299972	0	1	0.02468937	3.211765
1740	-11.14817	-13.58211	2.433948	0.01225162	0	1	0.006624563	3.248016
1750	-10.80887	-11.50395	0.6950829	0.03341874	0	1	0.01206974	2.804041
1760	-11.34835	-9.240489	-2.10786	0.07012158	0	1	0.02762599	3.080658
1770	-12.2265	-9.265041	-2.96146	0.08257731	0	1	0.03318662	3.225378
1780	-9.473851	-10.06893	0.5950749	0.03102722	0	1	0.01517107	3.189878
1790	-9.069403	-10.34217	1.272767	0.02365907	0	1	0.01145194	3.079934
1800	-8.969916	-9.696441	0.7265247	0.03381087	0	1	0.01145194	3.079934
1810	-9.14578	-9.009446	-0.1363345	0.04761885	0	1	0.01291057	3.085569
1820	-9.890102	-10.39919	0.5090876	0.04029239	0	1	0.01004266	2.987557
1830	-9.424923	-11.12441	1.699489	0.01555532	0	1	0.01155918	3.160494
1840	-10.19566	-9.258944	-0.9367166	0.06361975	0	1	0.0121516	3.196947
1850	-14.9687	-13.36009	-1.608605	0	1	0	0.0135604	3.292918
1860	-14.16147	-12.91539	-1.246075	0	1	0	0.009436866	3.305799
1870	-9.016759	-10.15511	1.13835	0.02605131	0	1	0.01151737	3.0881
1880	-9.130322	-9.14836	0.01803804	0.0459187	0	1	0.01212361	3.103028
1890	-9.246981	-9.026279	-0.2207013	0.0459187	0	1	0.01539271	3.059648
1900	-9.827723	-10.98523	1.15751	0.0216347	0	1	0.01432982	2.932458
1910	-9.06288	-9.350778	0.287898	0.03835434	0	1	0.01390591	3.058584
1920	-9.608014	-10.19624	0.5882217	0.03001555	0	1	0.01612997	3.036081
1930	-10.92848	-11.99102	1.062538	0.0200474	0	1	0.01716245	2.838524
1940	-9.425529	-8.625722	-0.7998074	0.05500945	0	1	0.01684157	3.096454
1950	-9.627718	-10.26505	0.6373321	0.02991728	0	1	0.01543838	3.211213
1960	-9.803095	-10.49397	0.6908706	0.02862315	0	1	0.01568887	3.233736
1970	-9.695193	-10.42056	0.7253695	0.02819621	0	1	0.01550907	2.971555
1980	-10.74781	-10.12212	-0.6256946	0.04572319	0	1	0.02332223	3.058243
1990	-10.57775	-12.04307	1.465322	0.01463427	0	1	0.01535138	2.897772
2000	-9.621342	-9.592627	-0.02871536	0.04504654	0	1	0.01331428	2.978139
2010	-9.74235	-11.38168	1.639326	0.02246488	0	1	0.008464302	3.17967
2020	-9.505014	-9.60886	0.1038463	0.03885009	0	1	0.01627598	3.013291
2030	-10.79475	-12.83567	2.040922	0.005113942	0	1	0.01440926	3.244413
2040	-11.33029	-13.61457	2.284279	0.001226065	0	1	0.01392535	3.441852
2050	-10.12718	-12.57381	2.446621	0.003037395	0	1	0.01073925	3.288526
2060	-9.563796	-10.25213	0.6883296	0.0375138	0	1	0.009748463	3.029189
2070	-10.25877	-10.1201	-0.1386762	0.03918219	0	1	0.02037571	3.163731
2080	-10.77914	-11.80065	1.021511	0.02429245	0	1	0.01422976	3.416873
2090	-9.460558	-9.885138	0.4245801	0.04061727	0	1	0.01073886	3.018675
2100	-11.43781	-11.13836	-0.299445	0.03988521	0	1	0.02304121	3.311068
2110	-11.60272	-13.4205	1.817783	0.01573302	0	1	0.01017185	3.522028
2120	-10.05874	-12.03346	1.974724	0.01029528	0	1	0.01164963	3.320125
2130	-10.66914	-9.123107	-1.546034	0.0634576	0	1	0.02254477	3.035331
2140	-11.30104	-8.516963	-2.784079	0.08244371	0	1	0.02799298	3.192249
2150	-10.90831	-11.24947	0.3411571	0.03046115	0	1	0.02016135	3.269064
2160	-10.83508	-9.200291	-1.634793	0.06453203	0	1	0.02325336	3.269064
2170	-15.05683	-13.14051	-1.916326	0.05745758	0	1	0.04508913	3.224833
