Iteration	Posterior	Likelihood	Prior	alpha	is_BM	is_OU	sigma2	theta
0	-11.65571	-8.898948	-2.756764	0.09271431	0	1	0.02392807	3.113102
10	-11.29616	-11.48943	0.1932647	0.03611333	0	1	0.0189688	3.188877
20	-11.35245	-10.51061	-0.8418342	0.05183093	0	1	0.02510816	3.157714
30	-11.88175	-8.675993	-3.205762	0.1019502	0	1	0.02406066	3.241329
40	-14.51845	-14.8048	0.2863531	0.02868199	0	1	0.02469333	2.747287
50	-12.97268	-14.66312	1.690445	0.00625338	0	1	0.01780326	3.15054
60	-11.76031	-12.1113	0.3509909	0.03694065	0	1	0.01556998	3.266878
70	-11.04871	-11.07952	0.030809	0.04147785	0	1	0.01724749	3.162436
80	-12.15889	-11.69436	-0.4645298	0.04189026	0	1	0.02774909	3.188516
90	-11.48708	-11.59892	0.1118437	0.03949499	0	1	0.01749372	3.256512
100	-11.27837	-10.34168	-0.9366947	0.05409404	0	1	0.0247639	3.111646
110	-12.98081	-13.79876	0.817953	0.01834024	0	1	0.02384337	3.228394
120	-13.38085	-12.1939	-1.186954	0.05231315	0	1	0.03464515	3.315502
130	-13.51186	-12.96183	-0.5500337	0.03919768	0	1	0.03439788	3.209013
140	-12.59498	-12.38667	-0.2083179	0.03701272	0	1	0.027145	2.985778
150	-12.32904	-10.65143	-1.677609	0.06469028	0	1	0.03123405	3.280491
160	-11.64273	-12.18208	0.5393482	0.02851288	0	1	0.01933	3.074771
170	-13.96042	-11.08547	-2.874958	0.0885371	0	1	0.03291148	2.95406
180	-13.38876	-14.90912	1.520351	0.01131623	0	1	0.01654983	3.385313
190	-14.27616	-14.28274	0.006574958	0.03482281	0	1	0.02432371	3.498103
200	-12.86812	-13.85432	0.9862031	0.01587334	0	1	0.02268508	3.152403
210	-14.08369	-13.03202	-1.051667	0.05368381	0	1	0.02833386	3.461555
220	-12.70906	-8.716219	-3.99284	0.119339	0	1	0.02293604	3.17097
230	-11.70861	-11.14928	-0.5593324	0.0456055	0	1	0.02552386	3.066425
240	-11.34596	-10.12758	-1.218384	0.06716137	0	1	0.01752505	3.239141
250	-13.29149	-8.863019	-4.428471	0.1165884	0	1	0.04046401	3.134947
260	-12.87143	-10.09924	-2.77219	0.08272722	0	1	0.03925278	3.129958
270	-13.43144	-11.06197	-2.369475	0.08373565	0	1	0.02500026	3.389789
280	-12.09966	-9.686513	-2.413145	0.08061705	0	1	0.03033493	3.06152
290	-11.03836	-9.789223	-1.249135	0.06678628	0	1	0.01840078	3.109549
300	-12.14462	-10.54394	-1.600682	0.06372771	0	1	0.03028949	3.268636
310	-12.24326	-12.71138	0.4681211	0.02628005	0	1	0.02310611	3.186427
320	-11.36627	-9.500718	-1.865549	0.07198327	0	1	0.02655626	3.104015
330	-13.27511	-12.56169	-0.713424	0.04500221	0	1	0.03065123	2.921493
340	-12.64412	-10.84513	-1.798996	0.08327008	0	1	0.01445097	3.192934
350	-11.16722	-9.117507	-2.04971	0.08022193	0	1	0.02149537	3.126652
360	-12.70603	-11.32365	-1.382384	0.05730186	0	1	0.03315019	3.030159
370	-12.32571	-10.60924	-1.716474	0.07115823	0	1	0.02380287	3.34464
380	-13.98965	-10.63442	-3.355228	0.09142347	0	1	0.04631646	3.276843
390	-11.50095	-9.243255	-2.257693	0.08704125	0	1	0.01907505	3.200331
400	-11.30575	-9.883001	-1.422752	0.06316046	0	1	0.02605237	3.198733
