Iteration	Posterior	Likelihood	Prior	alpha	is_BM	is_OU	sigma2	theta
0	-31.14095	-29.60941	-1.531536	0	1	0	0.01255457	2.142348
10	-29.13004	-30.39532	1.265284	0.01202364	0	1	0.02218406	2.382745
20	-28.46171	-31.09305	2.631336	0.002610949	0	1	0.01652068	1.997015
30	-25.90019	-29.15815	3.257959	9.097666e-05	0	1	0.0117611	2.476132
40	-25.82968	-28.44027	2.61059	0.00555416	0	1	0.01206588	2.401043
50	-25.85864	-29.00568	3.14704	0.0008463147	0	1	0.01205824	2.445728
60	-29.65822	-29.25144	-0.4067754	0.02614349	0	1	0.02367461	2.336958
70	-26.11858	-28.19358	2.074998	0.009335062	0	1	0.01340538	2.672185
80	-26.00441	-28.38995	2.385542	0.006418376	0	1	0.01369554	2.409749
90	-30.54231	-29.12824	-1.41407	0	1	0	0.01116315	2.409749
100	-27.67073	-27.02806	-0.6426609	0.02981872	0	1	0.01972718	2.451411
110	-30.66832	-29.2913	-1.377018	0	1	0	0.01075711	2.27417
120	-25.92125	-27.42225	1.501001	0.01442069	0	1	0.01334097	2.481628
130	-28.04215	-27.35111	-0.6910403	0.03146347	0	1	0.01717032	2.889844
140	-29.58103	-27.36851	-2.212517	0.04205466	0	1	0.02355266	2.429304
150	-26.02774	-28.3774	2.349657	0.006540659	0	1	0.01399973	2.509694
160	-27.39123	-30.47716	3.085927	0.00405101	0	1	0.008900641	2.260875
170	-27.69513	-30.57707	2.881938	0.0001833246	0	1	0.01695067	2.484637
180	-31.71821	-30.16051	-1.557701	0	1	0	0.01288739	2.034341
190	-26.73904	-29.16136	2.422321	0.005720926	0	1	0.01429158	2.724835
200	-26.27787	-26.42806	0.1501837	0.02463325	0	1	0.01610822	2.713622
210	-26.36278	-27.27452	0.9117394	0.01951754	0	1	0.01346388	2.755994
220	-26.1491	-28.83034	2.681242	0.006302624	0	1	0.01032476	2.442982
230	-25.79308	-28.70459	2.911504	0.003030424	0	1	0.01190196	2.442982
240	-25.9629	-28.33635	2.373448	0.007353102	0	1	0.01246319	2.367079
250	-25.8879	-28.49126	2.603359	0.005915165	0	1	0.01166421	2.383667
260	-26.43022	-26.19627	-0.2339445	0.02928004	0	1	0.0139376	2.633288
270	-30.78127	-29.48068	-1.300587	0	1	0	0.009965569	2.314086
280	-32.35786	-30.68609	-1.671772	0	1	0	0.0144446	2.76792
290	-31.58931	-25.30736	-6.281944	0.07534131	0	1	0.03119304	2.689565
300	-26.73176	-26.51197	-0.2197806	0.02786875	0	1	0.01613596	2.490074
310	-28.3636	-27.75078	-0.6128175	0.02786875	0	1	0.02390499	2.691137
320	-26.30129	-28.32024	2.018951	0.01118956	0	1	0.01148034	2.691137
330	-27.0733	-28.83475	1.761442	0.009789793	0	1	0.01741718	2.418522
340	-26.9233	-26.7593	-0.1639972	0.02655354	0	1	0.01772464	2.476183
350	-27.04714	-25.7259	-1.321233	0.03679399	0	1	0.01757874	2.55851
