Iteration	Posterior	Likelihood	Prior	alpha	is_BM	is_OU	sigma2	theta
0	-28.75707	-26.20743	-2.549645	0.04676418	0	1	0.02250655	2.888833
10	-28.09377	-26.23875	-1.855019	0.04294576	0	1	0.01708624	2.7964
20	-29.5777	-27.04545	-2.532244	0.0437217	0	1	0.03088698	2.76671
30	-28.40546	-30.80064	2.395177	0.00302334	0	1	0.01948806	2.727009
40	-26.92209	-27.49113	0.5690379	0.02054596	0	1	0.01768521	2.57179
50	-27.02714	-29.06589	2.038757	0.008854839	0	1	0.01467551	2.415118
60	-26.97841	-29.42168	2.443269	0.005653014	0	1	0.01391667	2.44895
70	-27.9792	-29.18258	1.203382	0.0138168	0	1	0.01962786	2.330611
80	-27.86318	-28.39662	0.5334398	0.02214581	0	1	0.01537486	2.905415
90	-27.20976	-29.48019	2.270429	0.006285402	0	1	0.01543317	2.691386
100	-27.4928	-27.93751	0.4447097	0.02387234	0	1	0.01390109	2.735629
110	-28.42293	-27.12271	-1.300216	0.03419453	0	1	0.02563529	2.810927
120	-27.84456	-25.53727	-2.307293	0.04589643	0	1	0.01942759	2.64944
130	-28.5217	-29.59706	1.075357	0.01789023	0	1	0.0142662	2.960105
140	-27.36893	-25.68674	-1.68219	0.03979868	0	1	0.02030479	2.750115
150	-26.90897	-28.4236	1.514627	0.01313011	0	1	0.01550362	2.678885
160	-27.01053	-29.44267	2.432144	0.005615743	0	1	0.01413005	2.397308
170	-27.34351	-26.7704	-0.5731125	0.03193672	0	1	0.01587388	2.633952
180	-27.58375	-30.25804	2.674292	0.004501796	0	1	0.01253366	2.660867
190	-27.62396	-29.15669	1.532724	0.01316563	0	1	0.01516633	2.863948
200	-29.47326	-26.18464	-3.288616	0.05157686	0	1	0.02778669	2.865789
210	-29.16059	-25.66154	-3.499045	0.05474749	0	1	0.02421544	2.573118
220	-27.45865	-28.13673	0.6780812	0.02017291	0	1	0.01652097	2.429229
230	-27.84207	-27.74777	-0.09429925	0.02667424	0	1	0.01752189	2.920608
240	-27.728	-26.09738	-1.630619	0.03853562	0	1	0.02215168	2.599373
250	-34.56471	-32.57687	-1.987846	0	1	0	0.01981413	1.819753
260	-27.58053	-26.18483	-1.395705	0.03862096	0	1	0.0173507	2.784162
270	-27.64642	-28.38384	0.7374137	0.01796522	0	1	0.01983811	2.436516
280	-28.20035	-30.62853	2.428179	0.004684459	0	1	0.0157129	2.886665
290	-29.44253	-27.82211	-1.620416	0.03706281	0	1	0.02577385	2.446985
300	-27.34296	-28.06343	0.7204718	0.01840424	0	1	0.01922789	2.488155
310	-30.57023	-25.09489	-5.475344	0.06993068	0	1	0.0330111	2.727115
320	-34.35271	-32.21148	-2.141232	0	1	0	0.02309881	2.456267
330	-29.89324	-32.22687	2.333626	0.006641594	0	1	0.01393255	1.920384
340	-28.08275	-29.85394	1.771195	0.008768659	0	1	0.01935984	2.261661
350	-27.44199	-28.1442	0.7022096	0.01887792	0	1	0.01859021	2.845786
360	-27.3739	-27.9775	0.6035929	0.02248136	0	1	0.01381496	2.651662
370	-26.94205	-28.05062	1.10857	0.01623497	0	1	0.01654947	2.513665
380	-29.49018	-31.05956	1.569383	0.01199854	0	1	0.01661846	2.044243
390	-27.21413	-29.77222	2.558092	0.004786286	0	1	0.01364527	2.310956
400	-31.02091	-30.72833	-0.2925753	0.03192205	0	1	0.0120101	2.907618
410	-29.3621	-25.80279	-3.559302	0.05786453	0	1	0.01826768	2.741968
420	-28.96001	-26.9472	-2.012809	0.03966507	0	1	0.02867827	2.718353
430	-32.12162	-26.48425	-5.637374	0.07614767	0	1	0.01961946	2.751647
440	-27.04547	-26.77361	-0.2718618	0.02727513	0	1	0.01959084	2.735035
450	-27.21597	-26.67376	-0.542212	0.02911586	0	1	0.02097605	2.673646
460	-28.33838	-25.81615	-2.522234	0.04858449	0	1	0.01793233	2.656993
470	-27.06072	-27.44669	0.3859762	0.02201404	0	1	0.01807735	2.783753
480	-29.98023	-26.26626	-3.71397	0.05923234	0	1	0.01835084	2.622433
490	-27.42978	-26.5633	-0.8664855	0.034585	0	1	0.01591694	2.684527
500	-27.84996	-26.68639	-1.16357	0.034585	0	1	0.02142307	2.535141
510	-32.13209	-30.32714	-1.804957	0	1	0	0.0165024	2.225898
520	-29.12858	-28.23896	-0.889624	0.03517217	0	1	0.01527286	2.478712
530	-27.78262	-27.43383	-0.3487954	0.02858277	0	1	0.01832882	2.908624
540	-28.32354	-28.41891	0.09536252	0.02704824	0	1	0.01391184	2.504318
550	-27.18188	-28.66255	1.480663	0.01316519	0	1	0.01597759	2.404433
560	-28.13007	-31.25301	3.122937	0.001805016	0	1	0.01075919	2.375164
570	-27.54329	-30.16751	2.624217	0.001820302	0	1	0.01768651	2.324198
580	-27.02758	-29.48326	2.455675	0.004996013	0	1	0.01477286	2.593725
590	-27.42406	-29.31245	1.888385	0.01130768	0	1	0.0130311	2.447692
600	-28.91699	-29.28086	0.3638733	0.01907326	0	1	0.02552176	2.611351
610	-31.82616	-30.15471	-1.671449	0	1	0	0.01443995	2.533254
620	-29.19232	-28.65984	-0.5324757	0.02922455	0	1	0.02052648	2.337928
630	-26.93594	-28.89979	1.963842	0.00895058	0	1	0.01565181	2.462236
640	-27.3509	-30.01919	2.668289	0.001755721	0	1	0.01704435	2.357265
650	-27.35042	-27.60269	0.2522672	0.02536767	0	1	0.01430041	2.651263
660	-28.05907	-29.94198	1.882906	0.01150474	0	1	0.01282233	2.32358
670	-27.79071	-29.6949	1.904191	0.008095627	0	1	0.01824834	2.787981
680	-28.19637	-29.91829	1.721916	0.01054293	0	1	0.01673903	2.175426
690	-28.11087	-29.391	1.280132	0.01732735	0	1	0.01236533	2.760148
700	-27.18688	-28.99713	1.810244	0.01050113	0	1	0.01539439	2.370505
710	-27.05704	-29.19984	2.142802	0.007020048	0	1	0.01617577	2.405345
720	-27.56319	-30.23916	2.675979	0.003320471	0	1	0.01424474	2.735964
730	-28.92786	-26.78126	-2.146606	0.04156621	0	1	0.02660968	2.867431
740	-36.66594	-35.91657	-0.7493684	0.0256317	0	1	0.03782405	1.975351
750	-27.44825	-30.55971	3.111464	0.0004181209	0	1	0.01267274	2.597526
760	-27.70942	-26.59633	-1.113088	0.03368977	0	1	0.02247139	2.586832
770	-28.61174	-27.38243	-1.229315	0.03383886	0	1	0.02483136	2.511687
780	-26.92565	-28.80334	1.87769	0.01001584	0	1	0.01517759	2.471617
790	-26.88876	-28.67899	1.790227	0.01072795	0	1	0.01531946	2.623447
800	-28.1361	-28.98786	0.8517657	0.01907743	0	1	0.01566111	2.332794
810	-27.8351	-28.629	0.7939015	0.01679069	0	1	0.02132817	2.756534
820	-27.05652	-29.7579	2.701376	0.003180984	0	1	0.01410177	2.328919
