Iteration	Posterior	Likelihood	Prior	alpha	is_BM	is_OU	sigma2	theta
0	-32.16834	-27.95578	-4.212553	0.05857572	0	1	0.02943441	2.547033
10	-30.9991	-30.18604	-0.8130632	0.03138127	0	1	0.02051807	2.788359
20	-31.93408	-31.06132	-0.8727623	0.03169006	0	1	0.02104163	2.363772
30	-31.55799	-33.24701	1.689013	0.009511429	0	1	0.01935411	2.260321
40	-32.09499	-32.19649	0.1014984	0.02093674	0	1	0.02641117	2.398787
50	-32.69247	-31.0153	-1.677169	0.03525001	0	1	0.03159913	2.45879
60	-32.00325	-27.9876	-4.015647	0.05641207	0	1	0.03078472	2.752346
70	-31.16381	-28.55983	-2.603974	0.04485023	0	1	0.02730946	2.604428
80	-35.26219	-26.77441	-8.487777	0.0943376	0	1	0.03891795	2.597492
90	-33.44613	-33.78254	0.3364099	0.01937213	0	1	0.02487098	2.111479
100	-33.20335	-34.92944	1.726091	0.009051443	0	1	0.01963326	1.938779
110	-31.93756	-32.99371	1.056153	0.01342534	0	1	0.02353376	2.72534
120	-30.59341	-29.53066	-1.062755	0.03361466	0	1	0.02052092	2.667098
130	-31.06836	-30.08846	-0.9799069	0.03357131	0	1	0.01898105	2.520606
140	-34.01661	-33.26546	-0.751148	0.02677315	0	1	0.03227491	2.285321
150	-30.62002	-29.37437	-1.245646	0.03489453	0	1	0.02135588	2.694621
160	-30.69875	-29.78571	-0.913048	0.03285543	0	1	0.01923195	2.662356
170	-33.40134	-32.09994	-1.301407	0.03451978	0	1	0.02354614	3.026964
180	-32.44757	-31.95514	-0.4924244	0.02511223	0	1	0.02999866	2.675789
190	-30.92282	-28.58985	-2.332969	0.04284484	0	1	0.02605748	2.668245
200	-32.78398	-32.46679	-0.3171872	0.02472459	0	1	0.02629108	2.263995
210	-33.08036	-31.60728	-1.473078	0.03317282	0	1	0.03249673	2.845457
220	-33.05729	-30.24564	-2.811649	0.04515245	0	1	0.03249673	2.879859
230	-30.92967	-29.82226	-1.107414	0.03472299	0	1	0.01895869	2.564368
240	-31.6201	-32.36671	0.7466175	0.01700919	0	1	0.02148858	2.813325
250	-31.13197	-32.72561	1.593635	0.01092991	0	1	0.01817026	2.447215
260	-31.7572	-31.49815	-0.2590544	0.02709067	0	1	0.01904334	2.879105
270	-31.34405	-33.4157	2.07165	0.006639312	0	1	0.0181958	2.375133
280	-31.76218	-29.79095	-1.971231	0.03828065	0	1	0.03022161	2.690462
290	-32.53611	-30.70018	-1.835929	0.04253303	0	1	0.01641353	2.744838
300	-32.76006	-33.57292	0.8128649	0.01484223	0	1	0.0256208	2.219323
310	-35.23331	-35.7705	0.537191	0.01438354	0	1	0.03552835	2.554234
320	-31.7953	-32.91174	1.116443	0.01416787	0	1	0.02039271	2.827623
330	-33.70795	-34.06081	0.3528635	0.02351063	0	1	0.01540702	2.955251
340	-32.02596	-33.28288	1.256922	0.01571602	0	1	0.01490523	2.714033
350	-30.91171	-30.05808	-0.8536355	0.03069745	0	1	0.02306432	2.754709
360	-32.42128	-30.05337	-2.367913	0.04227501	0	1	0.02875813	2.427874
370	-33.74556	-27.66385	-6.081709	0.07716234	0	1	0.02391494	2.69711
380	-30.94354	-31.05373	0.1101925	0.0244736	0	1	0.01763515	2.535525
390	-31.30021	-29.19179	-2.108426	0.04051193	0	1	0.02701614	2.762022
400	-31.44823	-31.10539	-0.3428395	0.02672849	0	1	0.02156283	2.856799
410	-30.99334	-28.60535	-2.387996	0.04535828	0	1	0.02079031	2.689185
420	-32.98089	-32.52073	-0.4601599	0.02813093	0	1	0.0207301	3.012716
430	-31.69843	-31.7768	0.07837322	0.02121222	0	1	0.02620976	2.60495
440	-31.09446	-32.23217	1.137702	0.01543404	0	1	0.01733002	2.457339
450	-30.65955	-29.95617	-0.7033816	0.03092514	0	1	0.01934806	2.604924
460	-31.24439	-27.81767	-3.426717	0.053714	0	1	0.0230938	2.673697
470	-30.87684	-31.67993	0.8030929	0.01764227	0	1	0.01892167	2.627061
480	-30.61581	-29.75241	-0.8633942	0.03216483	0	1	0.0197684	2.642693
490	-31.65944	-27.43152	-4.227919	0.05963012	0	1	0.02656818	2.61115
500	-32.07773	-29.64507	-2.432666	0.04202484	0	1	0.03155166	2.746692
510	-32.1348	-27.77426	-4.360541	0.06230685	0	1	0.02249397	2.692168
520	-32.0401	-33.49482	1.454727	0.01306039	0	1	0.01645518	2.230159
530	-32.05738	-31.10963	-0.9477481	0.03265949	0	1	0.02035175	2.911816
540	-31.18683	-31.09658	-0.09024394	0.02433042	0	1	0.02189655	2.421884
550	-30.78375	-31.08411	0.3003565	0.02118664	0	1	0.02105224	2.581868
560	-31.37488	-30.0118	-1.363076	0.0354887	0	1	0.02247415	2.842438
