Iteration	Posterior	Likelihood	Prior	alpha	is_BM	is_OU	sigma2	theta
0	-32.08549	-25.87884	-6.206656	0.07199368	0	1	0.0351129	2.647035
10	-29.41619	-26.19743	-3.21876	0.04888767	0	1	0.0262801	2.679191
20	-29.00792	-26.59648	-2.411446	0.0448882	0	1	0.01870005	2.762075
30	-29.0616	-26.27893	-2.782675	0.04606219	0	1	0.0236335	2.650478
40	-29.50811	-29.38036	-0.1277519	0.02322179	0	1	0.02392363	2.550619
50	-29.50325	-30.31867	0.8154161	0.02028463	0	1	0.01312707	2.785369
60	-29.84634	-26.89286	-2.953486	0.04889121	0	1	0.0201484	2.574689
70	-30.1087	-29.46517	-0.6435329	0.03039374	0	1	0.01734254	2.411267
80	-31.20297	-31.52727	0.3243053	0.01828946	0	1	0.02707926	3.006304
90	-28.61846	-27.77828	-0.8401737	0.03195218	0	1	0.01759862	2.604984
100	-28.35263	-28.7783	0.4256733	0.02177745	0	1	0.01628264	2.704304
110	-29.08598	-27.1315	-1.954475	0.04081956	0	1	0.01904221	2.590686
120	-30.01198	-26.39405	-3.617927	0.05133578	0	1	0.02943275	2.724289
130	-29.31471	-29.03757	-0.2771489	0.02439042	0	1	0.02423504	2.654629
140	-29.86162	-27.70997	-2.15165	0.03920573	0	1	0.02800225	2.621034
150	-32.10841	-28.24416	-3.864248	0.05147317	0	1	0.03705435	2.823115
160	-29.21836	-30.44566	1.227294	0.01375331	0	1	0.0186431	2.385104
170	-29.31564	-27.38827	-1.927365	0.0378389	0	1	0.02624845	2.67654
180	-33.75913	-27.10206	-6.657069	0.07548329	0	1	0.03665288	2.884916
190	-30.0867	-30.75148	0.6647754	0.0217583	0	1	0.01284859	2.877919
200	-28.45556	-28.04204	-0.4135214	0.02734055	0	1	0.0196815	2.837267
210	-29.67502	-29.49959	-0.1754328	0.02676391	0	1	0.01659209	2.430129
220	-28.54047	-29.39012	0.8496515	0.01736105	0	1	0.01784699	2.814529
230	-30.0608	-32.17455	2.113756	0.009831213	0	1	0.01214607	2.776632
240	-30.17816	-29.13931	-1.038842	0.03010073	0	1	0.02664728	2.508097
250	-28.78969	-26.82683	-1.962863	0.04052649	0	1	0.01987114	2.623404
260	-29.46753	-30.17598	0.7084507	0.02118403	0	1	0.01315258	2.754316
270	-28.99003	-28.46694	-0.5230905	0.02912414	0	1	0.01783165	2.936089
280	-31.54028	-32.23586	0.6955782	0.01699102	0	1	0.02173921	2.090082
290	-28.66512	-29.95208	1.28696	0.01348062	0	1	0.01813152	2.631791
300	-29.00287	-27.90324	-1.099636	0.03137568	0	1	0.02440046	2.749175
310	-30.14087	-31.66589	1.525028	0.01113876	0	1	0.01878482	2.160214
320	-29.27185	-28.00796	-1.263894	0.03235545	0	1	0.02564763	2.745114
330	-28.90461	-29.49797	0.5933623	0.01817237	0	1	0.02097611	2.618461
340	-30.88709	-28.98486	-1.902232	0.03683181	0	1	0.02879134	2.974496
350	-29.2965	-29.96824	0.6717372	0.02132271	0	1	0.01342525	2.677202
360	-30.5551	-28.08448	-2.470622	0.04156151	0	1	0.0292584	2.904524
370	-30.67097	-29.91818	-0.7527928	0.0288041	0	1	0.02329057	2.339239
380	-29.83107	-26.44771	-3.383364	0.05272209	0	1	0.0197996	2.803696
390	-30.31612	-32.4966	2.180487	0.00575405	0	1	0.01829036	3.074308
400	-29.62615	-29.86459	0.2384435	0.02110785	0	1	0.02123224	3.030222
410	-30.07777	-31.53585	1.458077	0.01284157	0	1	0.01646372	3.132465
420	-33.3157	-34.14459	0.8288936	0.01282005	0	1	0.0309649	2.255764
430	-29.59425	-31.9351	2.340848	0.004186929	0	1	0.01870908	2.692316
440	-28.30371	-28.50036	0.1966506	0.02281892	0	1	0.01812892	2.777726
450	-29.76239	-30.17039	0.407997	0.02209697	0	1	0.01596606	2.382272
460	-29.16636	-29.65108	0.4847159	0.02067135	0	1	0.01746535	2.420714
470	-29.75397	-29.69248	-0.06149198	0.02770444	0	1	0.01326537	2.73498
480	-28.36839	-28.90216	0.5337764	0.01987446	0	1	0.01825088	2.662361
490	-28.67588	-29.23892	0.563032	0.02013482	0	1	0.01719391	2.896522
500	-29.01995	-28.58434	-0.4356111	0.02690708	0	1	0.02116578	2.512387
510	-28.77851	-30.45865	1.680148	0.01047628	0	1	0.01737945	2.590046
520	-30.24515	-31.65473	1.40958	0.01030472	0	1	0.02324033	2.516736
530	-29.21359	-31.19877	1.985175	0.00731768	0	1	0.01852456	2.677814
540	-30.15653	-30.75093	0.5944048	0.01708691	0	1	0.02378589	2.418744
550	-29.44236	-31.48725	2.044889	0.007054134	0	1	0.01799616	2.862041
560	-30.38364	-29.51217	-0.8714639	0.03320826	0	1	0.01568078	2.468501
570	-30.14689	-30.09102	-0.0558732	0.02174436	0	1	0.02645672	2.671937
580	-30.53564	-32.33041	1.794774	0.01270805	0	1	0.01194189	2.884233
590	-29.15715	-30.11325	0.9561017	0.01495836	0	1	0.02124138	2.685659
600	-29.37679	-28.48112	-0.8956663	0.03388344	0	1	0.01484698	2.661137
610	-29.1712	-30.66389	1.492684	0.01102258	0	1	0.01966735	2.526194
620	-28.93859	-30.9117	1.973113	0.008170395	0	1	0.01697236	2.704702
630	-29.54344	-31.86091	2.317472	0.00758481	0	1	0.01287912	2.485944
640	-30.56444	-33.16157	2.597133	0.00629583	0	1	0.01131878	2.657663
650	-29.47427	-26.84067	-2.633605	0.04532108	0	1	0.02220097	2.878009
660	-28.98351	-28.49972	-0.4837969	0.02651364	0	1	0.02325485	2.641671
670	-28.83356	-27.22474	-1.608817	0.03831051	0	1	0.0180652	2.624273
680	-29.10446	-31.13194	2.027479	0.00718874	0	1	0.01802663	2.533742
690	-29.07839	-28.91906	-0.1593282	0.02428781	0	1	0.02180112	2.91264
700	-28.98197	-27.94638	-1.035587	0.03101215	0	1	0.02387911	2.808364
710	-29.382	-30.80981	1.427806	0.01435572	0	1	0.01421957	2.427947
720	-34.40305	-32.74736	-1.655689	0	1	0	0.01421416	2.12044
730	-29.7542	-30.53132	0.7771268	0.01579351	0	1	0.02304397	2.515263
740	-28.27812	-28.60319	0.3250743	0.02192289	0	1	0.01770268	2.686822
750	-29.49752	-26.38987	-3.107653	0.04809208	0	1	0.02580604	2.811714
760	-29.79999	-26.83271	-2.967281	0.04868975	0	1	0.02091454	2.56783
770	-29.21789	-28.42586	-0.7920341	0.03065126	0	1	0.019523	2.967657
780	-30.25257	-28.70129	-1.55128	0.03742513	0	1	0.01891281	3.00284
790	-29.81107	-30.51104	0.6999741	0.01629336	0	1	0.02348091	2.842957
800	-28.42962	-27.67875	-0.7508665	0.03072811	0	1	0.0185682	2.829297
810	-29.46246	-32.24367	2.781213	0.001171806	0	1	0.0171282	2.319235
820	-29.20883	-31.26269	2.05386	0.008738986	0	1	0.01465005	2.381568
830	-34.19896	-32.5332	-1.665758	0	1	0	0.01435799	2.230485
840	-30.45193	-25.46661	-4.985315	0.06426839	0	1	0.02551655	2.769825
850	-29.92728	-26.8128	-3.11448	0.04770173	0	1	0.02719458	2.850802
860	-29.36342	-30.66956	1.306132	0.01567168	0	1	0.01377182	2.493598
870	-31.32212	-28.55577	-2.76635	0.04972367	0	1	0.01516182	2.781072
880	-32.63545	-35.23773	2.602285	0.001929575	0	1	0.01874952	3.433206
890	-30.04583	-30.08265	0.03681446	0.02343982	0	1	0.01978334	3.109264
900	-30.14594	-30.75949	0.6135481	0.02050553	0	1	0.01565436	3.092961
910	-29.5678	-30.73623	1.168429	0.01641099	0	1	0.01449781	2.981412
920	-30.90904	-32.5882	1.679164	0.01008729	0	1	0.01820498	1.999186
930	-31.25646	-32.26678	1.01032	0.01760518	0	1	0.0147709	3.20156
940	-28.53022	-27.82786	-0.7023575	0.02900241	0	1	0.0216381	2.676786
950	-32.80026	-33.95231	1.152057	0.01030442	0	1	0.03006758	2.789976
960	-29.37639	-29.07711	-0.2992808	0.02453414	0	1	0.02436502	2.807765
970	-30.61286	-30.39564	-0.2172225	0.02676556	0	1	0.01729681	2.325912
980	-28.63299	-29.18716	0.5541701	0.02115789	0	1	0.01539358	2.610013
990	-28.30112	-27.30611	-0.9950071	0.03239179	0	1	0.01951766	2.682894
1000	-28.78866	-26.64545	-2.143207	0.04071636	0	1	0.02327644	2.776732
1010	-30.81009	-25.45331	-5.356779	0.0671004	0	1	0.02657816	2.777576
1020	-29.45117	-30.16077	0.7095999	0.02078211	0	1	0.01376875	2.542397
1030	-28.45389	-27.94977	-0.5041164	0.02751225	0	1	0.02112008	2.709954
1040	-30.07567	-32.58766	2.511989	0.002507247	0	1	0.01918269	2.792854
1050	-29.13213	-26.78304	-2.349087	0.0425784	0	1	0.02300904	2.595996
1060	-29.78117	-32.20544	2.424274	0.005634228	0	1	0.01453528	2.162739
1070	-28.4229	-29.0897	0.6668059	0.01993579	0	1	0.01586351	2.712524
1080	-29.24383	-31.31045	2.066622	0.008065001	0	1	0.01564865	2.872561
1090	-34.84635	-33.3658	-1.48055	0	1	0	0.01193051	2.512091
1100	-28.89795	-30.8172	1.919246	0.00868296	0	1	0.01687106	2.712962
1110	-28.96487	-30.14532	1.180453	0.01432984	0	1	0.01826512	2.90205
1120	-31.95337	-31.86099	-0.09237799	0.02064483	0	1	0.03119972	2.595203
1130	-29.64065	-26.33904	-3.301611	0.04946904	0	1	0.02667629	2.802505
1140	-28.69027	-28.66976	-0.02051648	0.02432538	0	1	0.01889244	2.907025
1150	-28.82353	-26.65411	-2.169421	0.0427581	0	1	0.01882596	2.677728
1160	-30.63408	-32.56924	1.935157	0.01163141	0	1	0.01176808	2.872256
1170	-28.24919	-28.15333	-0.09585454	0.02501458	0	1	0.01879556	2.711957
1180	-28.53818	-27.83533	-0.7028484	0.02910911	0	1	0.02138066	2.801174
1190	-29.19009	-26.7954	-2.394687	0.04213045	0	1	0.02537577	2.651938
1200	-29.16161	-28.88694	-0.2746654	0.02492058	0	1	0.0227237	2.54954
1210	-30.98971	-28.9125	-2.077212	0.04326272	0	1	0.01618528	2.523286
1220	-28.8041	-27.55811	-1.245991	0.03326586	0	1	0.02265175	2.612976
1230	-30.61486	-26.95915	-3.655707	0.05353802	0	1	0.02363496	2.530127
1240	-29.8276	-30.47611	0.6485159	0.02097952	0	1	0.01430248	2.986499
1250	-30.13894	-28.40949	-1.729454	0.04106619	0	1	0.01477355	2.689202
1260	-34.26136	-32.65174	-1.609625	0	1	0	0.01357425	2.275675
1270	-28.8639	-29.07822	0.214327	0.02303849	0	1	0.01736041	2.492016
1280	-28.47606	-26.7401	-1.735965	0.03842808	0	1	0.02023487	2.76771
1290	-30.39812	-28.35573	-2.042388	0.03842808	0	1	0.02749021	2.946213
1300	-30.27854	-30.82945	0.5509135	0.01685219	0	1	0.02553355	2.677957
1310	-29.60803	-29.83612	0.2280909	0.02148575	0	1	0.02052706	3.045739
1320	-29.77274	-28.20297	-1.569775	0.035489	0	1	0.02415328	2.491696
1330	-30.01684	-27.36745	-2.649388	0.04366629	0	1	0.02736193	2.565364
1340	-30.40753	-31.55612	1.148586	0.0121054	0	1	0.0244496	2.627025
1350	-29.29132	-29.85446	0.5631422	0.01783027	0	1	0.02250081	2.629627
1360	-28.49101	-28.45226	-0.03874784	0.02486917	0	1	0.01805628	2.577027
1370	-30.87381	-29.29744	-1.576367	0.03736994	0	1	0.01951866	3.054458
1380	-28.23881	-28.09901	-0.1398015	0.02595756	0	1	0.01759216	2.740229
1390	-29.21868	-30.94428	1.725604	0.01128221	0	1	0.01511551	2.912088
1400	-30.50827	-27.57173	-2.936538	0.04586249	0	1	0.02821481	2.912329
