Options:
Model:                           Independent Contrasts
Tree File Name:                  tree_95.nex
Data File Name:                  neck.txt
Log File Name:                   neck_95.log.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            2003946656
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   10000
Iterations:                      12000000
Burn in:                         2000000
MCMC ML Start:                   False
Schedule File:                   neck_95.log.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Estimate
OU:                              Not in use
Min Trans Taxa No:               10
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local LandscapeBL:            False
Restrictions:
    Alpha-1                      None
    Sigma-1                      None
Prior Information:
    Priors
        Alpha-1 - uniform -100.00 100.00 
        Sigma-1 - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
        Lambda - uniform 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       53
     Sites:                      1
Iteration	Lh	Tree No	Alpha 1	Sigma^2 1	Lambda	No RJ Local Branch	No RJ Local Node	
2010000	44.025580	1	0.016706908189	0.000336891667	0.945187900306	2	1	
2020000	40.186813	1	0.022767944254	0.000960209093	0.984521959056	3	1	
2030000	42.584200	1	-0.014137771076	0.000509518544	0.928248113157	2	0	
2040000	37.321634	1	-0.197186901352	0.000139497678	0.994423279003	4	2	
2050000	39.082003	1	-0.057540421067	0.000571740101	0.946877184312	8	3	
2060000	45.868453	1	-0.072888322920	0.000508619527	0.971140545973	3	3	
2070000	39.816380	1	-0.039635190617	0.000545613528	0.979071423247	2	1	
2080000	40.395722	1	-0.081757393019	0.000650350674	0.980730687601	8	2	
2090000	42.800435	1	-0.035274836451	0.000909999294	0.986191397007	4	2	
2100000	42.111295	1	-0.037898537115	0.000543820605	0.999732183378	4	0	
2110000	43.284340	1	-0.048109750386	0.000489000944	0.965431168891	3	2	
2120000	43.058930	1	-0.061614037384	0.000638390540	0.994842596636	2	0	
2130000	39.682212	1	-0.007990467027	0.000582592303	0.998586415646	2	1	
2140000	40.139747	1	0.012477690477	0.000924901515	0.997068695828	2	0	
2150000	39.771239	1	0.033144808684	0.000567396203	0.949595169067	8	2	
2160000	35.455619	1	-0.048108291357	0.000994426093	0.943068815139	3	0	
2170000	44.763905	1	-0.070339803706	0.000430280327	0.962578496926	6	0	
2180000	40.427776	1	-0.060526705979	0.000518539441	0.977784862158	2	1	
2190000	42.531202	1	-0.092230038958	0.000512860552	0.990179596296	3	2	
2200000	43.111237	1	0.021946002318	0.000399247323	0.943364389105	3	0	
2210000	38.271099	1	0.057823033413	0.000630426697	0.968812140860	3	3	
2220000	43.265719	1	-0.042133220863	0.000519150919	0.968783151616	2	0	
2230000	39.734879	1	0.003915183515	0.000494979496	0.968051789543	2	0	
2240000	41.594609	1	-0.006780999567	0.000847130688	0.998613817688	2	0	
2250000	38.806060	1	-0.024641378209	0.000515193822	0.907933606763	0	0	
2260000	38.885605	1	-0.000598834212	0.000608100584	0.976129574259	7	0	
2270000	40.427173	1	0.050397605720	0.000482105879	0.999452587214	2	0	
2280000	39.085061	1	-0.029771786494	0.000520949985	0.917623981935	0	0	
2290000	39.480774	1	0.031896087739	0.000693283535	0.971657867285	3	0	
2300000	40.132844	1	-0.016496137609	0.000785225477	0.992947110307	3	0	
2310000	39.207496	1	0.021513744945	0.000681829569	0.946622675674	4	0	
2320000	40.234301	1	0.142972384398	0.000366210824	0.927978819350	6	2	
2330000	45.085980	1	-0.020132471382	0.000376202168	0.950833214804	10	2	
2340000	36.717278	1	0.100199480998	0.000585141981	0.954339494270	5	0	
2350000	39.272738	1	0.038428086427	0.000637018262	0.979189607128	4	2	
2360000	37.869702	1	0.003156711581	0.000455691899	0.942797545889	5	1	
2370000	41.556067	1	-0.007484249034	0.000577925713	0.991878659285	2	1	
2380000	41.600317	1	-0.101868449529	0.000531308128	0.994874313568	6	1	
2390000	40.917300	1	-0.025256347520	0.000581551387	0.899095864550	5	0	
2400000	39.437041	1	-0.115327441602	0.000553679887	0.992584828436	2	1	
2410000	40.645449	1	0.025768638739	0.000798723268	0.947608875828	2	1	
2420000	42.411466	1	0.019313813777	0.000426490583	0.998251270678	8	0	
