Options:
Model:                           Independent Contrasts
Tree File Name:                  tree_82.nex
Data File Name:                  neck.txt
Log File Name:                   neck_82.log.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            1145554632
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   10000
Iterations:                      12000000
Burn in:                         2000000
MCMC ML Start:                   False
Schedule File:                   neck_82.log.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Estimate
OU:                              Not in use
Min Trans Taxa No:               10
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local LandscapeBL:            False
Restrictions:
    Alpha-1                      None
    Sigma-1                      None
Prior Information:
    Priors
        Alpha-1 - uniform -100.00 100.00 
        Sigma-1 - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
        Lambda - uniform 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       53
     Sites:                      1
Iteration	Lh	Tree No	Alpha 1	Sigma^2 1	Lambda	No RJ Local Branch	No RJ Local Node	
2010000	39.539191	1	-0.105546330959	0.000628889469	0.949623942049	3	1	
2020000	44.991476	1	-0.012399913068	0.000523882859	0.986683655204	1	1	
2030000	39.339643	1	0.116220037895	0.000507079161	0.982690322837	5	2	
2040000	43.644319	1	-0.047830068841	0.000406330494	0.991183425232	3	1	
2050000	37.791623	1	-0.089196026969	0.000934540878	0.972485652838	1	0	
2060000	41.990792	1	-0.071105285068	0.000407558015	0.961438039305	1	1	
2070000	43.022775	1	-0.027140414515	0.000662755925	0.987455363603	3	2	
2080000	34.940547	1	0.025876869275	0.000775352573	0.987304634536	5	1	
2090000	42.216095	1	-0.001895274110	0.000410700265	0.982294848883	4	1	
2100000	41.512733	1	-0.046165721776	0.000417853174	0.980991749624	4	1	
2110000	38.799846	1	0.162924941139	0.000821523408	0.981843470844	7	2	
2120000	44.366314	1	-0.052178556320	0.000511028943	0.986196785186	3	1	
2130000	40.834341	1	-0.069710271417	0.000587511219	0.927175620692	2	3	
2140000	49.289022	1	-0.139872529138	0.000390261091	0.978106304495	6	2	
2150000	38.770869	1	-0.089335697846	0.000632365767	0.978735464240	4	0	
2160000	41.740616	1	-0.015229795959	0.000622415029	0.960845647179	4	2	
2170000	46.800825	1	-0.119073017394	0.000301903202	0.980190883826	2	3	
2180000	40.956416	1	-0.074752559483	0.000672851951	0.948076984098	1	1	
2190000	48.811407	1	-0.022643653141	0.000370454322	0.990274874357	3	2	
2200000	42.786901	1	-0.043915134150	0.000411143342	0.953248690046	2	1	
2210000	39.632181	1	0.034572449672	0.000708639612	0.969737089912	5	0	
2220000	40.209577	1	-0.061312377601	0.000595497741	0.985741636287	6	0	
2230000	42.508154	1	-0.099071107323	0.000475591112	0.973909390720	5	1	
2240000	42.900628	1	-0.001103058615	0.000474405871	0.908070999246	10	2	
2250000	48.678860	1	0.011785225810	0.000315591251	0.943415738966	4	2	
2260000	43.261567	1	-0.001303474641	0.000237758639	0.918084668467	7	3	
2270000	44.064442	1	0.037640407435	0.000481578553	0.971775639390	3	3	
2280000	47.289815	1	-0.103037822943	0.000202622791	0.957515084063	5	3	
2290000	39.243416	1	0.005403349675	0.000754448581	0.986028997640	5	1	
2300000	38.193404	1	-0.045145262192	0.000448669555	0.970232089074	3	2	
2310000	39.971113	1	-0.087871375683	0.000511526774	0.875712044889	3	1	
2320000	43.143234	1	-0.039172242222	0.000594076200	0.986899721882	4	3	
2330000	47.430076	1	-0.005097409528	0.000455234317	0.994965849050	5	4	
2340000	48.747809	1	-0.023333574895	0.000431024656	0.970732496814	5	1	
2350000	42.201850	1	0.000595855528	0.000607750056	0.954071108416	2	1	
2360000	41.070232	1	0.028527986889	0.000788764961	0.995870972987	2	1	
2370000	42.676740	1	-0.035499957979	0.000748806735	0.996163779770	3	0	
2380000	44.357559	1	0.047593724598	0.000590879106	0.993349944035	4	1	
2390000	50.560374	1	-0.059686914235	0.000271036463	0.962814595333	5	1	
2400000	42.410306	1	0.021977458728	0.000671320497	0.987568445711	2	1	
2410000	42.955574	1	0.095255355371	0.000425623698	0.997477863680	9	0	
2420000	46.868392	1	-0.006241914398	0.000321656208	0.973203148967	3	4	
2430000	48.211804	1	0.056181839410	0.000521211402	0.998064581957	7	0	
2440000	42.582246	1	-0.145387770707	0.000456890050	0.956609572969	3	1	
2450000	42.955712	1	0.105617666859	0.000425568566	0.909303418105	7	1	
2460000	48.684111	1	0.040256725449	0.000271315023	0.968828034869	5	3	
2470000	42.772205	1	-0.058652877613	0.000458241273	0.985309638933	2	2	
2480000	32.228132	1	0.081687531730	0.000632837236	0.870176136195	3	2	
2490000	43.486039	1	-0.010361138657	0.000424506735	0.973697450869	11	2	
2500000	42.014614	1	-0.152533353584	0.000848322618	0.996814964393	2	1	
2510000	39.833038	1	-0.063486038402	0.000660873068	0.995646155522	1	1	
2520000	43.006930	1	0.015632041255	0.000538650977	0.997706149139	4	1	
2530000	43.673584	1	-0.026534535122	0.000446302246	0.926534191613	6	1	
2540000	46.310251	1	-0.024844932248	0.000567061879	0.980459381634	5	1	
2550000	42.906079	1	-0.039907207954	0.000368291168	0.982167040027	8	4	
2560000	46.023890	1	-0.042755758912	0.000323960065	0.960515590659	5	1	
2570000	41.846248	1	-0.011910764482	0.000427750152	0.936567866744	5	1	
2580000	47.562296	1	-0.108722883243	0.000397396296	0.951980717277	7	1	
2590000	36.054945	1	-0.110417395902	0.000949255522	0.989526841392	5	0	
2600000	44.786554	1	-0.048017965901	0.000631173359	0.992745555327	2	2	
2610000	41.278036	1	-0.023500434020	0.000459864479	0.949770602944	4	2	
2620000	35.610128	1	0.085453099408	0.000797810098	0.987288033228	2	1	
2630000	43.729235	1	-0.086602032297	0.000591448281	0.995213342115	3	2	
2640000	41.580020	1	0.063858771230	0.000694123958	0.995876683694	5	1	
2650000	41.368741	1	-0.050003315147	0.000461072518	0.947586444415	4	2	
2660000	39.755770	1	-0.061926483669	0.000690012290	0.989941519793	3	4	
2670000	40.939739	1	0.051159726406	0.000373875778	0.874020392544	6	0	
2680000	46.200509	1	-0.015648634124	0.000280866917	0.898848718664	9	1	
2690000	48.039808	1	-0.043890153590	0.000261777187	0.978658288524	6	3	
2700000	43.789085	1	0.026841059598	0.000448599026	0.947772350824	7	2	
2710000	36.486536	1	0.010659870290	0.000562728814	0.997454343850	4	2	
2720000	46.362447	1	-0.046897859157	0.000164086403	0.997999116843	4	5	
2730000	45.094502	1	-0.040603643269	0.000314226862	0.974648816074	7	4	
2740000	46.355898	1	0.059926895214	0.000195389731	0.940964159146	4	2	
2750000	47.674368	1	-0.062911423623	0.000297399414	0.862947279096	4	3	
2760000	47.553973	1	-0.011517894548	0.000316969850	0.961691638639	6	1	
2770000	43.491976	1	-0.126853591538	0.000500133305	0.949318699192	3	1	
2780000	51.394434	1	-0.033346474866	0.000201432304	0.979185766703	7	3	
2790000	47.039189	1	-0.099918492069	0.000360061245	0.979109854740	6	1	
2800000	46.680585	1	-0.038075816913	0.000489999654	0.992456607118	2	2	
2810000	43.173294	1	-0.029417779251	0.000836736876	0.992826668438	2	3	
2820000	39.351780	1	-0.151399133893	0.000590119921	0.974583294143	4	0	
2830000	42.804536	1	-0.068672128926	0.000547341534	0.994560269243	3	2	
2840000	43.116166	1	-0.052991025031	0.000621129522	0.994872077492	4	1	
2850000	35.802473	1	0.076642694629	0.001125259020	0.969980403276	8	1	
2860000	48.637566	1	-0.024082541091	0.000294747467	0.975238447488	8	2	
2870000	44.475089	1	-0.026854794136	0.000454469581	0.997448010771	3	1	
2880000	44.054432	1	-0.071244115296	0.000444724957	0.965358629991	5	1	
2890000	42.105969	1	-0.063824156471	0.000673060584	0.994390036019	3	1	
2900000	50.705923	1	0.012435772808	0.000230529590	0.980529563299	10	3	
2910000	39.508175	1	0.025783535226	0.000710392790	0.976317350273	5	0	
2920000	46.156277	1	0.026220392363	0.000506311245	0.978098788715	4	2	
2930000	43.452964	1	-0.028429548485	0.000476174890	0.962458278106	4	2	
2940000	37.979430	1	0.105444666753	0.000974369354	0.997572176242	5	1	
2950000	37.726692	1	-0.091274342469	0.001247966460	0.999942543562	3	0	
2960000	37.747821	1	-0.067505599672	0.000766420396	0.933343472919	5	0	
2970000	49.534170	1	0.115529448952	0.000315385095	0.978956425094	8	2	
2980000	50.432416	1	-0.064335330501	0.000324815661	0.990953867519	7	2	
2990000	42.255537	1	-0.119801640078	0.000560538660	0.998874876122	2	2	
3000000	35.363122	1	-0.024206899337	0.000578578580	0.938495004734	6	4	
3010000	40.357790	1	-0.074009328033	0.000607388179	0.962245809627	2	1	
3020000	37.835456	1	-0.040460107696	0.000515731305	0.938296034996	4	2	
3030000	42.668135	1	-0.076540540272	0.000461646295	0.989199691270	5	4	
3040000	41.121603	1	-0.083840438547	0.000402678607	0.977190488632	2	1	
3050000	41.839248	1	-0.039184351952	0.000454136497	0.874914916773	5	2	
3060000	43.170082	1	-0.029586242172	0.000436842201	0.985425947265	4	2	
3070000	38.025436	1	-0.051964830207	0.001052404230	0.994546168879	5	2	
3080000	48.633387	1	-0.094214952600	0.000406864893	0.992219374189	7	2	
3090000	43.254827	1	-0.010563268031	0.000310583315	0.939623225175	6	3	
3100000	49.421235	1	-0.038834434830	0.000407726894	0.995190999023	5	2	
3110000	39.565208	1	-0.035347556676	0.000671576143	0.999240623284	6	0	
3120000	38.785796	1	0.045493617616	0.000562845708	0.879899793020	2	1	
3130000	47.427507	1	0.052051093526	0.000474820218	0.953192937421	8	1	
3140000	42.335478	1	-0.064024349375	0.000519671889	0.995666650547	1	3	
3150000	42.560300	1	-0.133526933507	0.000379008398	0.979497227422	3	1	
3160000	45.165188	1	-0.100080600122	0.000391273070	0.957213897500	4	1	
3170000	38.227463	1	0.024068559693	0.001107038194	0.988427603714	1	4	
3180000	46.620193	1	0.007321664102	0.000379158751	0.968031406112	1	2	
3190000	42.535572	1	-0.009635503536	0.000607689295	0.991770451727	4	2	
3200000	45.763481	1	-0.040879547199	0.000550586072	0.996838958050	7	1	
3210000	46.723205	1	0.044391844564	0.000116958671	0.977935154751	2	4	
3220000	47.787745	1	-0.060572196613	0.000379143288	0.973384143355	4	1	
3230000	46.225598	1	-0.093322113642	0.000231164673	0.768821714888	3	1	
3240000	43.953536	1	-0.066237783344	0.000540495636	0.998071906344	2	2	
3250000	36.909030	1	-0.086332532634	0.000488966176	0.915093861631	4	2	
3260000	45.265764	1	-0.021647153423	0.000357654971	0.962329693837	3	4	
3270000	44.573127	1	-0.059178958869	0.000782251808	0.994335373454	8	1	
3280000	42.578600	1	-0.031416360951	0.000553209102	0.986597801935	4	1	
3290000	44.751613	1	0.041309882494	0.000422667936	0.948692623610	4	3	
3300000	36.810004	1	-0.051576447218	0.000715230562	0.976334693478	3	1	
3310000	45.709781	1	0.017542437115	0.000657865180	0.987465926726	9	2	
3320000	38.329639	1	-0.112803571120	0.000357504532	0.942686363501	8	0	
3330000	43.639264	1	-0.022298137955	0.000550865674	0.976339087509	6	2	
3340000	41.420439	1	-0.035752719231	0.000797306835	0.987983230603	6	1	
3350000	42.105094	1	-0.053368485697	0.000517372881	0.955740503087	4	1	
3360000	39.615709	1	-0.067262733025	0.000540448815	0.964960481504	2	4	
3370000	34.630432	1	0.286988260976	0.000877046721	0.995872551144	4	1	
3380000	44.358250	1	-0.007129049043	0.000273156995	0.937488511999	4	1	
3390000	41.900825	1	-0.065528390746	0.000704273776	0.963649983848	7	1	
3400000	42.583803	1	-0.024802108550	0.000726800475	0.995285460113	9	1	
3410000	46.448204	1	-0.032976424540	0.000557654636	0.974031094874	4	1	
3420000	42.280090	1	-0.034168197137	0.000530933294	0.948532425092	6	0	
3430000	48.941587	1	-0.117523744997	0.000339701482	0.932925056952	13	1	
3440000	41.759553	1	-0.013033394896	0.000378479435	0.961649679797	2	2	
3450000	36.214399	1	-0.018700721388	0.000618783753	0.906961177835	9	0	
3460000	46.913396	1	0.026020985716	0.000458917842	0.977674248657	7	0	
3470000	41.612764	1	0.088691811288	0.000447902935	0.895315109162	7	1	
3480000	40.400014	1	-0.072973640140	0.000705862185	0.943181583476	3	0	
3490000	43.159804	1	-0.065099156694	0.000430805353	0.985245013130	4	1	
3500000	38.010757	1	-0.079604237655	0.000583997865	0.964568349502	3	3	
3510000	36.684393	1	-0.070569647287	0.000406260262	0.958505001628	4	2	
3520000	48.090382	1	-0.029186595609	0.000494039463	0.977933528392	4	1	
3530000	32.770571	1	-0.097393470613	0.000749413917	0.964543362368	5	1	
3540000	39.230638	1	0.018930779894	0.000314216220	0.983118675787	4	3	
3550000	44.035785	1	-0.025336811094	0.000524739039	0.994047674553	8	3	
3560000	44.847945	1	-0.019941364078	0.000444322756	0.954962508033	8	0	
3570000	44.852530	1	-0.044966772971	0.000593750792	0.986466203592	5	2	
3580000	35.317407	1	-0.036152136812	0.001048759328	0.943450419238	3	2	
3590000	42.828915	1	-0.051742826217	0.000484950736	0.993163841594	7	2	
3600000	40.006947	1	0.061654273565	0.000501587016	0.981447725976	6	2	
3610000	42.017043	1	-0.011415840633	0.000399325107	0.983303311697	2	1	
3620000	38.388322	1	-0.170666136772	0.000485104848	0.962933757281	7	0	
3630000	49.953467	1	-0.070779497804	0.000345767987	0.997509433983	9	1	
3640000	43.933727	1	0.015901104754	0.000497631992	0.923540879572	2	2	
3650000	43.817678	1	0.054033331260	0.000553575446	0.992153508977	6	3	
3660000	38.103156	1	-0.089448829000	0.000376027636	0.860278580153	3	0	
3670000	47.557667	1	-0.006361675880	0.000377977871	0.993933328634	5	1	
3680000	46.218773	1	-0.062117443902	0.000549657842	0.976807041068	4	3	
3690000	38.642354	1	-0.023663637077	0.000360573532	0.831273504117	5	0	
3700000	47.749624	1	-0.075014511186	0.000424798963	0.993540214372	5	1	
3710000	43.163125	1	-0.034653287201	0.000605727205	0.983994460819	4	2	
3720000	52.891967	1	-0.115086587715	0.000401208433	0.995425369267	7	3	
3730000	43.250911	1	0.000418489105	0.000484758157	0.999975575833	3	2	
3740000	43.727121	1	-0.071030205418	0.000692119837	0.977955654147	6	1	
3750000	53.447570	1	-0.076030961892	0.000226221405	0.938524485204	8	1	
3760000	44.460299	1	-0.061342939474	0.000553066050	0.988723327403	3	1	
3770000	44.917777	1	-0.070430380715	0.000609344959	0.991251975935	4	2	
3780000	46.616594	1	-0.069030603197	0.000405256075	0.954473594730	4	3	
3790000	42.092497	1	-0.056750423830	0.000608695759	0.991213110654	3	2	
3800000	40.278946	1	0.044431360941	0.000669131502	0.967563708011	4	1	
3810000	43.022370	1	-0.079750996218	0.000241247378	0.930574373314	6	3	
3820000	44.074736	1	-0.014477862815	0.000398667276	0.934319175164	6	1	
3830000	44.367262	1	-0.030216527466	0.000540789611	0.971979748430	1	1	
3840000	39.276344	1	-0.058567512917	0.000528211030	0.907357379220	3	4	
3850000	46.944852	1	0.027866403247	0.000199567571	0.961799160361	7	6	
3860000	42.049331	1	-0.059910553772	0.000262396007	0.984363404710	3	2	
3870000	43.998614	1	-0.085340773979	0.000606826054	0.964729168052	5	1	
3880000	50.914257	1	-0.134378464712	0.000331590541	0.988552015651	6	2	
3890000	43.691572	1	0.023543402929	0.000620287828	0.987507646195	2	1	
3900000	46.085898	1	-0.044160941561	0.000458159686	0.987228029877	1	1	
3910000	44.937674	1	-0.090728069433	0.000620611214	0.993039068966	1	2	
3920000	40.525611	1	0.033580409778	0.000704470045	0.991298643633	3	2	
3930000	45.470532	1	-0.090133117279	0.000401798263	0.988164539281	4	2	
3940000	43.716479	1	0.032020672725	0.000652455286	0.995258139037	5	1	
3950000	39.572102	1	0.033170790100	0.000815038327	0.998775543429	2	0	
3960000	45.063509	1	-0.092893349557	0.000473662010	0.999513038112	4	3	
3970000	38.850751	1	-0.139516240364	0.000621432171	0.994858830628	4	0	
3980000	39.149752	1	-0.086124892659	0.000643044977	0.935062629941	7	0	
3990000	41.214925	1	-0.037169968790	0.000407271639	0.905850334624	4	0	
4000000	37.006139	1	-0.137449508715	0.000780583662	0.975540819128	3	3	
4010000	46.088170	1	-0.005433308785	0.000355037069	0.964846066371	7	2	
4020000	42.884204	1	-0.045837584783	0.000674177029	0.984075852358	4	1	
4030000	44.558482	1	-0.021037155522	0.000576496651	0.996206736314	1	1	
4040000	47.648968	1	-0.070150351601	0.000221484057	0.865634592934	8	1	
4050000	44.584703	1	-0.004399031157	0.000428676233	0.990057895917	3	3	
4060000	45.558501	1	-0.076680276072	0.000661703930	0.998170160282	7	1	
4070000	44.851483	1	-0.113762722669	0.000468321529	0.964383825002	2	1	
4080000	41.873213	1	0.008051281689	0.000721614658	0.994995062710	2	3	
4090000	45.076780	1	-0.045033688919	0.000558438953	0.985878221232	7	1	
4100000	45.857324	1	-0.039051033642	0.000416150658	0.940182837790	4	2	
4110000	41.966943	1	0.027538455277	0.000724112247	0.985785841723	5	1	
4120000	47.668378	1	-0.036173659628	0.000249770526	0.898103520102	6	1	
4130000	44.511225	1	-0.032525656395	0.000336905436	0.946664754606	6	2	
4140000	39.400228	1	-0.033430266366	0.000397861276	0.880539242859	2	3	
4150000	42.776310	1	-0.051002146400	0.000469386864	0.988795190204	4	2	
