Options:
Model:                           Independent Contrasts
Tree File Name:                  tree_65.nex
Data File Name:                  neck.txt
Log File Name:                   neck_65.log.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            1647434818
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   10000
Iterations:                      12000000
Burn in:                         2000000
MCMC ML Start:                   False
Schedule File:                   neck_65.log.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Estimate
OU:                              Not in use
Min Trans Taxa No:               10
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local LandscapeBL:            False
Restrictions:
    Alpha-1                      None
    Sigma-1                      None
Prior Information:
    Priors
        Alpha-1 - uniform -100.00 100.00 
        Sigma-1 - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
        Lambda - uniform 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       53
     Sites:                      1
Iteration	Lh	Tree No	Alpha 1	Sigma^2 1	Lambda	No RJ Local Branch	No RJ Local Node	
2010000	38.233818	1	0.159742625140	0.000631244814	0.985106955018	2	1	
2020000	42.430975	1	0.046998413399	0.000374474505	0.993832837974	3	2	
2030000	38.594554	1	0.123171614609	0.000833026461	0.994926427705	2	1	
2040000	36.149098	1	0.042276663020	0.000496655850	0.885586314649	3	0	
2050000	35.361562	1	0.026960758745	0.000454567349	0.933032768180	3	0	
2060000	33.184225	1	-0.084635134938	0.000542470960	0.983175835395	3	1	
2070000	39.305049	1	0.047749937993	0.000604437792	0.987715947640	3	3	
2080000	37.165293	1	0.018215438107	0.000357888914	0.990415729921	2	2	
2090000	37.382472	1	-0.006279097446	0.000446371977	0.999900008431	4	1	
2100000	34.609827	1	-0.007131090052	0.000472250994	0.896331374167	7	2	
2110000	37.131342	1	-0.019717123610	0.000667026387	0.975350897890	1	0	
2120000	35.765542	1	0.134400125294	0.000609288200	0.994104691592	3	2	
2130000	35.490717	1	0.155396439942	0.000952388369	0.988969163552	2	0	
2140000	38.317558	1	-0.048551817655	0.000368054203	0.983082938857	1	1	
2150000	36.403569	1	-0.151368735988	0.000818869151	0.999081891371	5	0	
2160000	36.713650	1	0.054386201442	0.000406962054	0.899257190524	4	1	
2170000	32.327698	1	-0.085556028773	0.000503005083	0.858116915317	5	1	
2180000	36.240923	1	-0.162789002657	0.000509671575	0.944060002926	5	1	
2190000	36.244111	1	0.051717836974	0.000584771293	0.951895338583	4	0	
2200000	38.861104	1	-0.016353208457	0.000502194703	0.996881864409	6	0	
2210000	37.459532	1	-0.041666957383	0.000679756931	0.949605217641	3	1	
2220000	38.821990	1	0.041314865759	0.000547138892	0.970429513430	6	0	
2230000	38.856326	1	0.089639878658	0.000635668289	0.977514922216	2	2	
2240000	41.383562	1	0.037176872111	0.000649301474	0.998372213012	0	2	
2250000	31.988000	1	-0.105852869235	0.000988716769	0.928669397157	4	0	
2260000	39.255899	1	-0.038938321714	0.000472332224	0.950143583906	5	1	
2270000	37.632059	1	0.043193500381	0.000472743908	0.967192377965	10	1	
2280000	35.988122	1	-0.083975892551	0.000977500835	0.989525600365	1	0	
2290000	38.093449	1	-0.003335520821	0.000420151791	0.976689689828	5	6	
2300000	38.113676	1	0.070542522958	0.000686432163	0.985829718409	2	0	
2310000	38.906866	1	0.071145708733	0.000758165733	0.996850003240	6	1	
2320000	32.076118	1	-0.052028511912	0.000358341602	0.913458272303	5	0	
2330000	38.116753	1	-0.049617533382	0.000393671158	0.964448113033	6	4	
2340000	37.898953	1	-0.038379717443	0.000691771162	0.983814578822	0	2	
2350000	38.237139	1	-0.012307678072	0.000627387102	0.943529234287	3	0	
2360000	33.168291	1	-0.009120204233	0.000477298474	0.851275738231	5	1	
2370000	41.029366	1	-0.026027625089	0.000429379438	0.942666271311	3	1	
2380000	34.167868	1	-0.007107575687	0.000413795474	0.964381128913	4	3	
2390000	37.102305	1	0.014878722138	0.000480248129	0.973780960362	3	0	
2400000	38.560773	1	-0.010360381092	0.000516963981	0.909736725633	5	2	
2410000	35.507888	1	-0.100945697169	0.000662689671	0.984273018647	3	1	
2420000	40.877435	1	-0.040090900121	0.000691593670	0.997718418583	8	2	
2430000	40.538179	1	0.013557644578	0.000699119950	0.988882050078	2	1	
2440000	37.511418	1	-0.009562658097	0.000717597679	0.980683138198	4	1	
2450000	41.150919	1	0.022390928354	0.000552125619	0.987346530121	4	1	
2460000	38.840387	1	-0.027924638217	0.000418042794	0.923987560076	2	3	
2470000	34.081602	1	0.188487033868	0.000594179525	0.966964032520	5	1	
2480000	33.376895	1	0.048708505431	0.000984630112	0.962971121884	3	1	
2490000	41.032782	1	0.052067013378	0.000490864897	0.976064026981	4	1	
2500000	37.716873	1	-0.097032433133	0.000478815627	0.995336959560	2	1	
2510000	33.638879	1	-0.099024536055	0.000350391255	0.908841065644	2	0	
2520000	42.248510	1	0.003587515383	0.000417829047	0.964798171810	3	2	
2530000	39.119164	1	0.101085061568	0.000438161459	0.994887251531	6	1	
2540000	34.190684	1	-0.046038414039	0.000832502275	0.919163931868	3	0	
2550000	36.884962	1	-0.112271542176	0.000917005489	0.995217662219	4	0	
2560000	38.613810	1	-0.040403597053	0.000443930071	0.980795004076	6	2	
2570000	36.036172	1	0.064413199379	0.000758943830	0.988620504738	4	2	
2580000	37.924358	1	-0.033913462932	0.000701845183	0.991876505495	5	1	
2590000	40.232023	1	-0.016671799747	0.000648033993	0.998707784323	8	4	
2600000	40.283885	1	0.138125846192	0.000548968561	0.980970119165	3	3	
2610000	37.118932	1	0.055168307725	0.000731569327	0.996460478641	4	0	
2620000	42.449936	1	-0.027235281319	0.000463993525	0.993477694848	6	1	
2630000	38.030193	1	0.012718509815	0.000562498719	0.936106641834	5	1	
2640000	39.584736	1	0.160636394381	0.000382287322	0.903774087430	3	0	
2650000	34.960384	1	0.104153084705	0.000639588430	0.962161705131	4	3	
2660000	37.769809	1	0.027594065260	0.000684702328	0.991541968519	8	1	
2670000	36.683752	1	-0.102297164670	0.000425886407	0.973892174741	2	2	
2680000	40.087433	1	0.042692263530	0.000412371225	0.956087534903	3	3	
