Options:
Model:                           Independent Contrasts
Tree File Name:                  tree_67.nex
Data File Name:                  neck.txt
Log File Name:                   neck_67.log.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            1660010497
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   10000
Iterations:                      12000000
Burn in:                         2000000
MCMC ML Start:                   False
Schedule File:                   neck_67.log.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Estimate
OU:                              Not in use
Min Trans Taxa No:               10
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local LandscapeBL:            False
Restrictions:
    Alpha-1                      None
    Sigma-1                      None
Prior Information:
    Priors
        Alpha-1 - uniform -100.00 100.00 
        Sigma-1 - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
        Lambda - uniform 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       53
     Sites:                      1
Iteration	Lh	Tree No	Alpha 1	Sigma^2 1	Lambda	No RJ Local Branch	No RJ Local Node	
2010000	49.346154	1	-0.014234365751	0.000360706636	0.997109499779	5	1	
2020000	44.512443	1	-0.001149834627	0.000593458036	0.972049189730	5	1	
2030000	39.965638	1	0.095143476747	0.000655489879	0.989670947148	6	1	
2040000	43.616430	1	-0.021502986811	0.000548098378	0.984422120953	2	2	
2050000	45.584167	1	-0.021301409678	0.000468386677	0.982344162380	4	1	
2060000	43.888430	1	0.060353703196	0.000450564460	0.997781386513	2	1	
2070000	42.899310	1	0.093193562924	0.000625598694	0.998546178998	5	3	
2080000	31.322035	1	-0.122634645918	0.001104383159	0.938234579562	3	1	
2090000	42.431966	1	-0.065479470794	0.000249125240	0.853350374070	8	1	
2100000	44.149942	1	-0.083901024035	0.000458311462	0.984348694960	5	3	
2110000	46.660649	1	-0.020911490734	0.000484999504	0.997956709801	4	2	
2120000	40.599620	1	-0.080001101656	0.000472806969	0.974235277104	4	0	
2130000	45.562150	1	0.009356637077	0.000283238845	0.952011834546	7	1	
2140000	40.499000	1	-0.011530042089	0.000478228356	0.940150311518	2	2	
2150000	39.482596	1	-0.026481580382	0.000612217673	0.965772169993	6	1	
2160000	43.365315	1	-0.092519319206	0.000486974222	0.968558621913	6	1	
2170000	43.030232	1	-0.057469021012	0.000533106212	0.951505866862	0	1	
2180000	41.969551	1	0.041640605142	0.000379951265	0.965638547242	3	1	
2190000	37.180125	1	0.058706279757	0.000437736383	0.788623238976	2	1	
2200000	37.577309	1	-0.077979718866	0.000761846494	0.966105653592	4	1	
2210000	39.906474	1	0.059564051893	0.000523606924	0.943755628794	3	0	
2220000	43.108798	1	-0.033769438857	0.000604979030	0.980674709257	2	3	
2230000	38.879067	1	0.009587592564	0.000499817826	0.960972173130	3	0	
2240000	41.002662	1	-0.073782024236	0.000897739490	0.989646231616	3	1	
2250000	38.313829	1	-0.030107187810	0.000469952950	0.985011105685	3	0	
2260000	44.306716	1	0.008576955027	0.000527268861	0.989582596546	3	1	
2270000	42.740879	1	-0.124286184202	0.000428945030	0.985017115313	2	2	
2280000	39.503777	1	-0.033549736123	0.000606674790	0.988284699521	3	1	
2290000	39.221467	1	-0.036972219173	0.000726644185	0.974847247397	3	1	
2300000	44.432683	1	-0.022321848817	0.000469313264	0.987985036616	3	2	
2310000	41.511289	1	0.035420340062	0.000690073399	0.958417543187	1	2	
2320000	42.879963	1	-0.049493863155	0.000457576380	0.977294698588	4	2	
2330000	40.928719	1	-0.087999484722	0.000467921137	0.977935415704	5	2	
2340000	46.302590	1	0.001947937742	0.000351084286	0.967284435960	3	1	
2350000	42.326660	1	0.074559019324	0.000375777818	0.982367503877	3	3	
2360000	44.100994	1	-0.016537631901	0.000390703893	0.993438161969	5	1	
2370000	44.207806	1	0.036709397965	0.000336885744	0.950290503516	4	2	
2380000	42.284209	1	-0.028003598729	0.000314125467	0.937925262469	6	2	
2390000	38.546617	1	0.015309977206	0.000412279923	0.922304750937	2	2	
2400000	40.797807	1	-0.153238111799	0.000559910913	0.922637203979	3	2	
2410000	42.263539	1	-0.135271857913	0.000762495063	0.994836558751	4	0	
2420000	38.690542	1	0.086861233778	0.000874076733	0.991945127196	2	0	
2430000	42.903932	1	0.001628907325	0.000511341575	0.957276878776	5	1	
2440000	43.082822	1	-0.093593373255	0.000572848058	0.981167336992	8	1	
2450000	48.849320	1	-0.174152896120	0.000214885169	0.958273913195	4	3	
2460000	41.498863	1	-0.019238205446	0.000551660544	0.975079341549	2	2	
2470000	43.029167	1	0.043223025117	0.000351982194	0.948281975453	7	1	
2480000	42.152555	1	-0.035490323840	0.000425020457	0.999444635904	4	2	
2490000	42.199680	1	-0.047224921430	0.000825039150	0.989777326327	6	0	
2500000	41.515438	1	-0.044919332743	0.000532612616	0.961441277165	9	2	
2510000	40.529758	1	0.010042082789	0.000457734484	0.998927754585	7	1	
2520000	41.389533	1	-0.000773657458	0.000406675227	0.997555233502	2	2	
2530000	42.050335	1	-0.045544074145	0.000596842492	0.956521419700	4	1	
2540000	41.257346	1	-0.134213368657	0.000489146396	0.957862911042	2	0	
2550000	39.641607	1	-0.024071918995	0.000678616521	0.944409469977	4	1	
2560000	39.806081	1	-0.057268899909	0.000441737297	0.900747336942	2	0	
2570000	41.841654	1	0.045401609273	0.000569341350	0.968211538850	4	1	
2580000	43.773162	1	0.135254969759	0.000300995629	0.980349513077	4	3	
2590000	41.723099	1	0.000098400649	0.000402080376	0.877816617913	2	0	
2600000	46.009596	1	-0.017667026073	0.000496417683	0.997410684099	1	1	
2610000	38.434292	1	0.045341903607	0.000665290990	0.983087602085	3	2	
2620000	47.020367	1	0.048014609105	0.000190077972	0.945913176500	5	3	
2630000	44.176584	1	0.067282972481	0.000489138506	0.998350222519	2	2	
2640000	46.667777	1	-0.088323604452	0.000512901134	0.975951585849	5	1	
2650000	44.649243	1	-0.049887485364	0.000322101344	0.886078028613	4	1	
2660000	41.350856	1	-0.113231620345	0.000594486254	0.974146883969	1	2	
2670000	38.423800	1	0.014907637330	0.000631815213	0.970072334551	4	1	
2680000	44.101524	1	-0.138241310014	0.000412533260	0.986854938582	3	2	
2690000	37.823431	1	-0.052623414501	0.000564107547	0.923599922181	6	2	
2700000	41.099855	1	0.036626130754	0.000430735778	0.934862158959	6	2	
2710000	38.420816	1	-0.039891577936	0.000668956230	0.952105087652	4	0	
2720000	42.207442	1	-0.132287630439	0.000499710408	0.976452109426	4	1	
2730000	37.148165	1	-0.017575689343	0.000335046498	0.893021218759	0	1	
2740000	45.937322	1	-0.195869418575	0.000221200395	0.945896502791	5	1	
2750000	46.511569	1	-0.011643585041	0.000540947008	0.991900577413	4	2	
2760000	43.132496	1	-0.026523858704	0.000393325012	0.935667493901	3	1	
2770000	46.082664	1	-0.044828669319	0.000311629180	0.994717825235	5	2	
2780000	33.922626	1	0.016717870884	0.000380439399	0.963997118693	4	3	
2790000	44.790174	1	-0.016144224874	0.000561474321	0.993432872140	7	0	
2800000	45.323945	1	-0.036935512859	0.000369165869	0.991148674498	3	2	
2810000	42.968470	1	0.002753630080	0.000411867185	0.980116991410	7	2	
2820000	44.240946	1	0.036343031716	0.000457206095	0.965671739408	4	2	
2830000	47.732991	1	-0.054144574791	0.000435627786	0.963394479122	6	3	
2840000	40.490773	1	-0.033212506320	0.000642723299	0.997990531356	6	0	
2850000	41.476286	1	0.007503199171	0.000434459843	0.914066173045	3	3	
2860000	38.648746	1	0.033971530546	0.000461870890	0.953855005566	5	2	
2870000	42.769709	1	0.006550140208	0.000339119145	0.981497682877	5	3	
2880000	41.556313	1	0.124854849971	0.000284066626	0.858887175970	6	2	
2890000	42.437169	1	-0.056950119762	0.000628665804	0.974084422251	2	1	
2900000	41.859866	1	-0.081643668905	0.000352791510	0.948315397212	9	1	
2910000	41.986717	1	-0.085859291307	0.000055081989	0.960627893632	2	1	
2920000	39.850629	1	-0.043747451838	0.000810741507	0.996210152647	4	0	
2930000	39.401418	1	-0.114577707515	0.000370874297	0.959958212520	9	3	
2940000	37.069368	1	-0.052924030625	0.000580970730	0.941633428731	5	0	
2950000	41.753675	1	0.058863513110	0.000610732423	0.953935339479	2	1	
2960000	42.753896	1	-0.045915470575	0.000485526599	0.995036606661	5	2	
2970000	40.679903	1	0.016010377223	0.000651926807	0.997524920569	4	2	
2980000	43.033922	1	-0.047873340479	0.000719839820	0.987808005969	3	2	
2990000	45.195807	1	-0.052955213767	0.000471122263	0.998495177648	3	2	
3000000	43.062090	1	-0.036578644222	0.000437959640	0.953340916913	3	2	
3010000	40.634981	1	-0.054748197226	0.000519425481	0.985238195612	5	1	
3020000	46.110336	1	-0.174260237997	0.000520797134	0.988604207847	6	1	
3030000	42.974828	1	-0.023979283116	0.000389307755	0.989384629620	6	2	
3040000	44.315098	1	0.009991752815	0.000333629407	0.956746792216	6	1	
3050000	41.953603	1	-0.005855733857	0.000516522585	0.934659092823	5	2	
3060000	43.120711	1	-0.200245066573	0.000452050400	0.974575515246	6	2	
3070000	46.741098	1	-0.075505374369	0.000387427051	0.931899484750	9	0	
3080000	42.074281	1	-0.026887524351	0.000444353878	0.965602981099	1	2	
3090000	44.378378	1	-0.076906200753	0.000554590481	0.993450610090	1	1	
3100000	46.145083	1	0.027604414976	0.000349231693	0.965264729812	6	1	
3110000	41.815724	1	0.011099532641	0.000632368910	0.969292836514	5	1	
3120000	36.676158	1	0.097008224294	0.001197772058	0.860727332827	2	2	
3130000	37.532261	1	0.002487840931	0.000660586847	0.993005944230	5	2	
3140000	45.581835	1	-0.028836294207	0.000343814906	0.976297996161	4	1	
3150000	43.540409	1	-0.051916059549	0.000843318012	0.985277562168	6	2	
3160000	44.923400	1	-0.021398113876	0.000457037331	0.981971384337	1	3	
3170000	41.792526	1	0.041239365282	0.000574552305	0.974527406194	3	3	
3180000	43.919480	1	-0.036410775567	0.000265393174	0.952980505130	8	2	
3190000	42.116258	1	-0.035746019124	0.000366829561	0.984320465105	6	2	
3200000	43.190369	1	-0.033789596971	0.000697779665	0.995757923645	3	4	
3210000	38.131930	1	0.051366258253	0.000460821791	0.905311605986	4	0	
3220000	46.049445	1	-0.022212950524	0.000508360816	0.992200372838	7	1	
3230000	36.888299	1	0.049994353744	0.000289112968	0.997364858332	7	3	
3240000	36.631105	1	-0.119186020693	0.000500566921	0.894034637815	3	1	
3250000	46.424230	1	-0.003149446760	0.000499490111	0.989551687417	2	1	
3260000	43.427096	1	-0.007370502460	0.000383042881	0.991117803888	7	1	
3270000	41.895774	1	0.011158747099	0.000419832530	0.919115716681	2	2	
3280000	36.698711	1	-0.033414929761	0.000665510849	0.968379183280	9	1	
3290000	44.208344	1	0.003288102581	0.000581808390	0.983893516336	6	1	
3300000	43.764348	1	0.040476545553	0.000481246362	0.978846516619	8	1	
3310000	44.679904	1	0.040856858444	0.000344298041	0.987957946710	2	1	
3320000	45.733302	1	0.093978113160	0.000368463933	0.936343201330	5	0	
3330000	40.750295	1	0.047236315521	0.000824954113	0.991524317997	6	0	
3340000	39.645829	1	0.026576970080	0.000632596709	0.985114450418	6	1	
3350000	40.849075	1	0.046498956076	0.000352265241	0.965737736602	5	1	
3360000	38.996626	1	-0.065904090858	0.000529010072	0.948002971853	6	0	
3370000	44.177134	1	0.013174728554	0.001050492153	0.996442656199	2	3	
3380000	40.701077	1	-0.027031725542	0.000439531561	0.911739729264	4	1	
3390000	48.869271	1	-0.008963897948	0.000240120096	0.990215130909	8	3	
3400000	45.374267	1	-0.080338390083	0.000431182093	0.991186716259	4	1	
3410000	45.896994	1	-0.057000256430	0.000649184847	0.997569670696	5	1	
3420000	42.342866	1	0.086054042108	0.000481669111	0.978804313620	3	0	
3430000	40.183041	1	0.028986875653	0.000652274326	0.971388534211	3	0	
3440000	42.601154	1	-0.013503665787	0.000661159841	0.942394328778	4	2	
