Node ID	No Taxa	Original BL	No different from original	Pct time scaled	Mean Scalar	Mode Scalar	Median Scalar	SD Scalar	Mean SigV	Mode SigV	Median SigV	SD SigV	Mean DeltaB	Mode DeltaB	Median DeltaB	SD DeltaB	Mean DeltaV	Mode DeltaV	Median DeltaV	SD DeltaV	Taxa List	
74	1	5.240892	200	20.000000	1.442224	1.013947	1.000000	2.149719	0.000744	0.000495	0.000563	0.001099	0.002911	0.002581	0.002806	0.000948	0.003899	0.002595	0.002951	0.005759	Thililua_longicollis	
75	1	5.370397	185	18.500000	1.336473	1.001997	1.000000	1.812945	0.000676	0.000501	0.000563	0.000798	0.002983	0.002645	0.002876	0.000972	0.003628	0.002688	0.003021	0.004284	Manemergus_anguirostris	
76	1	12.325158	165	16.500000	1.273490	0.997097	1.000000	1.380652	0.000660	0.000511	0.000559	0.000848	0.006847	0.006070	0.006600	0.002230	0.008134	0.006299	0.006896	0.010449	Edgarosaurus_muddi	
77	1	31.141515	168	16.800000	1.336779	1.029253	1.000000	1.985720	0.000664	0.000505	0.000563	0.000583	0.017299	0.015338	0.016676	0.005634	0.020691	0.015714	0.017533	0.018171	Nichollssaura_borealis	
78	1	5.215862	152	15.200000	1.573452	1.027851	1.000000	4.018997	0.000754	0.000503	0.000561	0.001361	0.002897	0.002569	0.002793	0.000944	0.003935	0.002622	0.002926	0.007096	Brancasaurus_brancai	
79	12	16.820482	239	23.900000	2.541172	1.073063	1.000000	4.987291	0.001268	0.000508	0.000600	0.002532	0.009344	0.008284	0.009007	0.003043	0.021334	0.008549	0.010098	0.042582	Albertonectes_vanderveldei,Aristonectes_quiriquinensis,Callawayasaurus_colombiensis,Hydrotherosaurus_alexandrae,Kaiwhekea_katiki,Libonectes_morgani,Nakonanectes_bradti,Styxosaurus_SDSM_451,Styxosaurus_browni,Styxosaurus_rezaci,Thalassomedon_haningtoni,Vegasaurus_molyi	
80	11	28.294530	165	16.500000	1.409155	1.018070	1.000000	2.168138	0.000713	0.000497	0.000563	0.000993	0.015718	0.013936	0.015152	0.005119	0.020160	0.014072	0.015930	0.028091	Albertonectes_vanderveldei,Aristonectes_quiriquinensis,Hydrotherosaurus_alexandrae,Kaiwhekea_katiki,Libonectes_morgani,Nakonanectes_bradti,Styxosaurus_SDSM_451,Styxosaurus_browni,Styxosaurus_rezaci,Thalassomedon_haningtoni,Vegasaurus_molyi	
81	4	4.427669	182	18.200000	1.362463	1.003318	1.000000	1.629329	0.000717	0.000496	0.000559	0.000967	0.002460	0.002181	0.002371	0.000801	0.003175	0.002196	0.002475	0.004283	Styxosaurus_SDSM_451,Styxosaurus_browni,Styxosaurus_rezaci,Thalassomedon_haningtoni	
82	3	1.929833	201	20.100000	1.637803	1.016964	1.000000	2.912667	0.000879	0.000516	0.000565	0.001852	0.001072	0.000950	0.001033	0.000349	0.001697	0.000995	0.001090	0.003573	Styxosaurus_SDSM_451,Styxosaurus_browni,Styxosaurus_rezaci	
83	2	21.235160	212	21.200000	1.458679	1.013065	1.000000	2.099893	0.000742	0.000502	0.000567	0.001006	0.011796	0.010459	0.011371	0.003842	0.015748	0.010668	0.012040	0.021369	Styxosaurus_SDSM_451,Styxosaurus_browni	
84	1	5.485451	211	21.100000	1.413917	1.012011	1.000000	1.697693	0.000730	0.000508	0.000565	0.000938	0.003047	0.002702	0.002937	0.000992	0.004004	0.002787	0.003099	0.005148	Styxosaurus_browni	
85	1	5.661353	204	20.400000	1.781509	1.201870	1.000000	11.346064	0.001109	0.000618	0.000562	0.011590	0.003145	0.002788	0.003032	0.001024	0.006276	0.003500	0.003183	0.065612	Styxosaurus_SDSM_451	
86	1	2.567153	183	18.300000	1.341427	0.997857	1.000000	1.775821	0.000719	0.000509	0.000559	0.001280	0.001426	0.001264	0.001375	0.000464	0.001845	0.001307	0.001436	0.003286	Styxosaurus_rezaci	
87	1	3.771510	171	17.100000	1.325655	1.012810	1.000000	1.824240	0.000675	0.000504	0.000561	0.000856	0.002095	0.001858	0.002020	0.000682	0.002546	0.001899	0.002114	0.003229	Thalassomedon_haningtoni	
88	7	9.978680	185	18.500000	1.371902	1.005927	1.000000	1.738872	0.000720	0.000508	0.000567	0.001240	0.005543	0.004915	0.005344	0.001805	0.007183	0.005074	0.005658	0.012372	Albertonectes_vanderveldei,Aristonectes_quiriquinensis,Hydrotherosaurus_alexandrae,Kaiwhekea_katiki,Libonectes_morgani,Nakonanectes_bradti,Vegasaurus_molyi	
89	6	1.506148	214	21.400000	2.440240	1.130046	1.000000	18.369109	0.001067	0.000500	0.000572	0.006601	0.000837	0.000742	0.000807	0.000272	0.001606	0.000753	0.000862	0.009942	Albertonectes_vanderveldei,Aristonectes_quiriquinensis,Hydrotherosaurus_alexandrae,Kaiwhekea_katiki,Nakonanectes_bradti,Vegasaurus_molyi	
90	5	2.136922	233	23.300000	1.911591	1.013815	1.000000	5.262667	0.000953	0.000518	0.000581	0.002357	0.001187	0.001052	0.001144	0.000387	0.002037	0.001108	0.001243	0.005036	Albertonectes_vanderveldei,Aristonectes_quiriquinensis,Hydrotherosaurus_alexandrae,Kaiwhekea_katiki,Vegasaurus_molyi	
91	1	13.724399	223	22.300000	1.549948	0.996874	1.000000	2.217589	0.000802	0.000504	0.000576	0.001222	0.007624	0.006760	0.007349	0.002483	0.011010	0.006919	0.007912	0.016770	Albertonectes_vanderveldei	
92	4	12.116014	247	24.700000	1.653687	1.004854	1.000000	2.605386	0.000853	0.000509	0.000584	0.001429	0.006730	0.005967	0.006488	0.002192	0.010337	0.006167	0.007075	0.017311	Aristonectes_quiriquinensis,Hydrotherosaurus_alexandrae,Kaiwhekea_katiki,Vegasaurus_molyi	
93	3	8.528098	293	29.300000	2.250217	0.981483	1.000000	7.099559	0.001131	0.000511	0.000604	0.003532	0.004737	0.004200	0.004567	0.001543	0.009643	0.004359	0.005151	0.030119	Aristonectes_quiriquinensis,Kaiwhekea_katiki,Vegasaurus_molyi	
94	2	2.703635	359	35.900000	3.535195	1.021989	1.000000	7.226825	0.001721	0.000521	0.000634	0.003440	0.001502	0.001332	0.001448	0.000489	0.004653	0.001409	0.001715	0.009299	Aristonectes_quiriquinensis,Kaiwhekea_katiki	
95	1	3.228674	290	29.000000	2.239630	1.012968	1.000000	7.860713	0.001086	0.000505	0.000599	0.002701	0.001794	0.001590	0.001729	0.000584	0.003506	0.001629	0.001936	0.008722	Kaiwhekea_katiki	
96	1	3.228674	291	29.100000	2.280725	0.945085	1.000000	5.963173	0.001081	0.000534	0.000601	0.001906	0.001794	0.001590	0.001729	0.000584	0.003489	0.001725	0.001940	0.006154	Aristonectes_quiriquinensis	
97	1	5.932309	265	26.500000	1.740985	1.026343	1.000000	2.432943	0.000911	0.000523	0.000594	0.001444	0.003295	0.002922	0.003177	0.001073	0.005407	0.003104	0.003524	0.008564	Vegasaurus_molyi	
98	1	14.460407	231	23.100000	1.791988	1.088872	1.000000	5.318157	0.000856	0.000504	0.000581	0.001441	0.008033	0.007122	0.007744	0.002616	0.012380	0.007285	0.008409	0.020839	Hydrotherosaurus_alexandrae	
99	1	28.713343	202	20.200000	1.544722	1.014682	1.000000	2.789222	0.000792	0.000492	0.000572	0.001478	0.015950	0.014142	0.015376	0.005194	0.022740	0.014139	0.016430	0.042431	Nakonanectes_bradti	
100	1	5.333272	181	18.100000	1.383849	1.020303	1.000000	1.805291	0.000710	0.000497	0.000567	0.000966	0.002963	0.002627	0.002856	0.000965	0.003785	0.002650	0.003024	0.005151	Libonectes_morgani	
101	1	10.733430	146	14.600000	1.302829	0.990093	1.000000	1.578072	0.000661	0.000508	0.000562	0.000672	0.005962	0.005286	0.005748	0.001942	0.007093	0.005450	0.006032	0.007214	Callawayasaurus_colombiensis	
102	1	1.446404	125	12.500000	1.312625	1.011182	1.000000	1.527774	0.000694	0.000502	0.000557	0.000951	0.000803	0.000712	0.000775	0.000262	0.001003	0.000726	0.000806	0.001376	Plesiopterys_wildi	
103	1	0.342179	100	10.000000	1.335348	1.014534	1.000000	1.887566	0.000677	0.000498	0.000557	0.000871	0.000190	0.000169	0.000183	0.000062	0.000232	0.000170	0.000191	0.000298	Eoplesiosaurus_antiquior	
104	1	7.362457	65	6.500000	1.244238	1.000436	1.000000	1.561335	0.000650	0.000504	0.000546	0.000728	0.004090	0.003626	0.003943	0.001332	0.004788	0.003708	0.004020	0.005362	Attenborosaurus_conybeari	




