Node ID	No Taxa	Original BL	No different from original	Pct time scaled	Mean Scalar	Mode Scalar	Median Scalar	SD Scalar	Mean SigV	Mode SigV	Median SigV	SD SigV	Mean DeltaB	Mode DeltaB	Median DeltaB	SD DeltaB	Mean DeltaV	Mode DeltaV	Median DeltaV	SD DeltaV	Taxa List	
11	1	3.797384	119	11.900000	1.398297	0.975387	1.000000	2.934200	0.000679	0.000445	0.000499	0.001518	0.001915	0.001712	0.001815	0.000637	0.002578	0.001689	0.001895	0.005764	Liopleurodon_ferox	
12	5	14.632054	148	14.800000	1.473522	1.017104	1.000000	2.748314	0.000698	0.000453	0.000502	0.001229	0.007380	0.006596	0.006994	0.002456	0.010206	0.006624	0.007345	0.017987	Brachauchenius_lucasi,Kronosaurus_MCZ_1285,Luskhan_itilensis,Sachicasaurus_vitae,Stenorhynchosaurus_munozi	
13	4	13.264013	156	15.600000	1.390669	0.985076	1.000000	2.353094	0.000659	0.000454	0.000501	0.000848	0.006690	0.005979	0.006340	0.002227	0.008738	0.006017	0.006639	0.011250	Brachauchenius_lucasi,Kronosaurus_MCZ_1285,Sachicasaurus_vitae,Stenorhynchosaurus_munozi	
14	2	34.402735	160	16.000000	1.365079	1.003025	1.000000	2.125828	0.000651	0.000445	0.000499	0.000936	0.017351	0.015507	0.016445	0.005775	0.022387	0.015294	0.017167	0.032190	Brachauchenius_lucasi,Kronosaurus_MCZ_1285	
15	1	1.616878	174	17.400000	1.493041	0.988874	1.000000	3.239626	0.000762	0.000436	0.000501	0.002133	0.000815	0.000729	0.000773	0.000271	0.001233	0.000705	0.000810	0.003448	Kronosaurus_MCZ_1285	
16	1	13.453129	154	15.400000	1.383882	1.001114	1.000000	2.545882	0.000661	0.000444	0.000499	0.001071	0.006785	0.006064	0.006431	0.002258	0.008899	0.005968	0.006713	0.014415	Brachauchenius_lucasi	
17	2	9.377431	179	17.900000	1.490064	1.003994	1.000000	2.315408	0.000729	0.000459	0.000502	0.001214	0.004729	0.004227	0.004482	0.001574	0.006840	0.004306	0.004707	0.011383	Sachicasaurus_vitae,Stenorhynchosaurus_munozi	
18	1	4.428226	208	20.800000	1.890395	1.039299	1.000000	3.993478	0.000896	0.000439	0.000512	0.001851	0.002233	0.001996	0.002117	0.000743	0.003966	0.001945	0.002267	0.008195	Sachicasaurus_vitae	
19	1	4.999186	186	18.600000	1.537743	0.993224	1.000000	2.472236	0.000756	0.000463	0.000504	0.001415	0.002521	0.002253	0.002390	0.000839	0.003778	0.002313	0.002520	0.007071	Stenorhynchosaurus_munozi	
20	1	20.431390	119	11.900000	1.220905	1.015821	1.000000	1.847728	0.000586	0.000446	0.000496	0.000873	0.010305	0.009210	0.009766	0.003430	0.011968	0.009110	0.010124	0.017831	Luskhan_itilensis	
